Syllables,Cumulative FREQcount
 zɪns ,16
keːtʲ ,4
 krɛɪk ,7
dɔmp ,6
ɣɔts,1383
brɔʋ ,167
dhɑl,3
dɑn ,7655
 vɑh ,1
krɵlh ,2
bri,13741
ɣɑr,3375
 prœymt,61
lɔɾ ,194
 klaːrs,3
 ɣlɑnts,12
 nənɣ ,1
 pleːxh ,41
 sɵn,36
 tɛɪn ,3030
tɪrst,1
mkmɑr ,2
lrvɪŋs,2
ʋɑlmt,3
ɣnuf,2
 rɑrm ,8
xhɔʃ ,7
 aːft,47
 rɑtʲ ,3
 fik,382
keːpt,4
 bøːrt,33894
blɪː ,15
rɛz ,240
mɵzh ,1
 roːv ,138
 tɪŋs ,26
pʌʊ ,3289
pɑn ,1583
ɛmkxh ,4
tɵn,958
ɪsn,3
 rɔːrt,58
 ʌʊdz ,19
 ɣɔtx ,3
 saː,14147
ɛllj ,18
 mɪŋk ,76
 vrøː,28
ɣɑt ,183
 teːls,11
rɔnt,19106
mkɣeː ,2
 smoː ,391
ɣəmt ,1
tɛɪs,24
 ʋeːxt,1166
ksɪŋ,14
flɛn ,18
søːx ,1
 pɛɪns,14
blɪts ,4
drɪz ,23
 ʃif,1
pɑp,5574
 dɑnz ,1
klɑph ,7
loːks,3
frœyŋs,1
zɑr ,112
 fɛɪn,346
 lɑrmh ,1
sʋaːj ,7
 klɑs ,4
 snɑr,42
kɔmh ,8
blɔnts,1
pɔlʋh ,3
 nɪt,381
zɔnd ,43
trɪː ,1366
pɑhpʃ ,1
 rɛŋ ,102
 pɛʃ,5
 stɛt ,31
bɪx,1044
 vɛxts ,63
kɑld ,51
ɣɑp ,12
feːn ,3
bɵrps,1
beːt,20987
ɣʋeː ,7
fid ,4
 jɑnts,9
 slɔk ,9
 bɛɾ ,2
slɵts,1
 ɔf ,17
 tœysh ,1
 plɑnk,2
 bɛɪdsh ,3
 jɪ ,34
sɔŋ,298
tʲɔw,2
 strɪt,121
 pɔf ,21
 braːm ,2
 ʃɛrs,1
sɑndwlx,1
hɔːrŋ ,5
bʌʊnt,51
dɔrn,10
ɑpp,5
sɔfts,2
 lɛɪɡ ,3
 sfud ,12
 bʌʊrx,36
stɑfh ,1
bɑts,40
 ɵrkt,8
ʋɑrm ,717
kɪk ,129
 tɪsk,3
blɪŋ ,164
sxɪrts,4
dɪp,186
klɑkt,2
rɛʃ ,9
 nɑs,924
speːl,13672
sih ,157
lɑz ,101
mɔːrt ,9
sɑnx ,292
krɔʋ ,19
trɔtsk,1
 krɔk ,2
 pɛks,26
kɔrv ,3
 pɑrt ,264
 vrɪr,8
 skeː,144
 drɛls,3
ish ,47
nɑrkls,1
 nɛws,2
 skoː ,1946
blɪxt,10
ɵrn,539
kuls,8
 u ,2275
 kœyp ,1
 flɛɪt,48
