,Word,IPA,Syllables,Min_Freq_Count,Max_Freq_Count,Mean_Freq_Count
0,toen,tˈun,tun,177,177,177.0
1,die,dˈi,di,441857,441857,441857.0
2,de,dˈə,də,195887,195887,195887.0
3,barkeeper,bˈɑrkeːpər,bɑr - keː - pər,5468,6764,5910.0
4,irritante,ˌɪɾritˈɑntə,ɪɾ - ri - tɑn - tə,1105,173653,74492.5
5,bediende,bədˈində,bə - din - də,20416,195887,79097.66666666667
6,wegliep,ʋˈɛɣlˌip,ʋɛ - ɣlip,132,39901,20016.5
7,manke,mˈɑŋkə,mɑŋ - kə,77,671009,335543.0
8,gingen,ɣˈɪŋən,ɣɪŋ - ən,2449,21253,11851.0
9,klant,klˈɑnt,klɑnt,1855,1855,1855.0
10,dronkaard,drˈɔŋkaːrt,drɔŋ - kaːrt,197,6279,3238.0
11,open,ˈoːpən,oː - pən,23008,179814,101411.0
12,deuren,dˈøːrən,døː - rən,397,297864,149130.5
13,betaalde,bətˈaːldə,bə - taːl - də,18673,195887,78516.66666666667
14,viel,vˈil,vil,2,2,2.0
15,kruk,krˈɵk,krɵk,171,171,171.0
16,lachte,lˈɑxtə,lɑx - tə,1425,173653,87539.0
17,rector,rˈɛktɔr,rɛk - tɔr,6853,8952,7902.5
18,om,ˈɔm,ɔm,624406,624406,624406.0
19,stoere,stˈurə,stu - rə,1590,30662,16126.0
20,puber,pˈybər,py - bər,1579,5812,3695.5
21,strafte,strˈɑftə,strɑf - tə,1685,173653,87669.0
22,was,ʋˈɑs,ʋɑs,476,476,476.0
23,erg,ˈɛrx,ɛrx,39634,39634,39634.0
24,onredelijk,ɔnrˈeːdələk,ɔn - reː - də - lək,18325,696160,274793.25
25,inbreker,ˈɪnbrˌeːkər,ɪn - breː - kər,5528,655575,256788.0
26,gekrenkte,ɣˈɛkrɛŋktə,ɣɛ - krɛŋk - tə,146,173653,68374.66666666667
27,smeekte,smˈeːktə,smeːk - tə,409,173653,87031.0
28,pastoor,pɑstˈoːr,pɑ - stoːr,92,34269,17180.5
29,ten,tˈɛn,tɛn,2102,2102,2102.0
30,vorige,vˈoːrəɣə,voː - rə - ɣə,11454,201458,81191.33333333333
31,raad,rˈaːt,raːt,4640,4640,4640.0
32,einde,ˈɛɪndə,ɛ - ɪn - də,67675,655575,306379.0
33,bruine,brˈœynə,brœy - nə,10751,412018,211384.5
34,assistent,ˌɑsɪstˈɛnt,ɑ - sɪ - stɛnt,1338,632504,215123.66666666666
35,week,ʋˈeːk,ʋeːk,252,252,252.0
36,tanden,tˈɑndən,tɑn - dən,7098,14939,11018.5
37,kreeg,krˈeːx,kreːx,55,55,55.0
38,maandag,mˈaːndɑx,maːn - dɑx,3941,11355,7648.0
39,uitslag,ˈœytslˌɑx,œyt - slɑx,725,16072,8398.5
40,behandelde,bəhˈɑndəldə,bəh - ɑn - dəl - də,863,195887,56347.0
41,pokken,pˈɔkən,pɔ - kən,3052,374893,188972.5
42,medicus,mˈeːdikˌɵs,meː - di - kɵs,9027,441857,153747.0
43,vreemde,vrˈeːmdə,vreːm - də,4182,195887,100034.5
44,laatst,lˈaːtst,laːtst,4412,4412,4412.0
45,zelf,zˈɛlf,zɛlf,5416,5416,5416.0
46,psychiater,psˈɪxiˌaːtər,psɪx - i - aː - tər,3772,1375470,369979.5
