,Word,IPA,Syllables,Min_Freq_Count,Max_Freq_Count,Mean_Freq_Count
0,torens,tˈoːrəns,toː - rəns,764,102068,51416.0
1,ervaren,ɛrvˈaːrən,ɛr - vaː - rən,6659,237688,110881.33333333333
2,bespreking,bəsprˈeːkɪŋ,bə - spreː - kɪŋ,14348,24908,20093.0
3,verder,vˈɛrdər,vɛr - dər,13127,50286,31706.5
4,zonnen,zˈɔnən,zɔ - nən,1160,257062,129111.0
5,stranden,strˈɑndən,strɑn - dən,297,7143,3720.0
6,student,stydˈɛnt,sty - dɛnt,7896,16467,12181.5
7,fans,fˈɑns,fɑns,32,32,32.0
8,pauze,pˈʌʊzə,pʌʊ - zə,3289,243958,123623.5
9,snelste,snˈɛlstə,snɛl - stə,22263,247036,134649.5
10,teams,tˈiːms,tiːms,509,509,509.0
11,schutter,sxˈɵtər,sxɵ - tər,3106,28640,15873.0
12,aanmoedigen,ˈaːnmˌudəɣən,aːn - mu - də - ɣən,1756,444799,195841.5
13,advies,ɑdvˈis,ɑd - vis,2601,15434,9017.5
14,leerlingen,lˈɪːrlɪŋən,lɪːr - lɪŋ - ən,2451,13766,9501.333333333334
15,lakse,lˈɑksə,lɑk - sə,1930,23463,12696.5
16,uitstekende,ˈœytstˌeːkəndə,œyt - steː - kən - də,55478,374698,218593.5
17,verband,vərbˈɑnt,vər - bɑnt,2694,61458,32076.0
18,zestiende,zˈɛstində,zɛ - stin - də,866,208410,73399.66666666667
19,veranderde,vərˈɑndərdə,və - rɑn - dər - də,19316,208410,76545.0
20,zonden,zˈɔndən,zɔn - dən,7143,14482,10812.5
21,zonder,zˈɔndər,zɔn - dər,14482,50286,32384.0
22,goochelaar,ɣˈoːxəlˌaːr,ɣoːx - ə - laːr,151,2281166,762077.6666666666
23,dropje,drˈɔpjə,drɔp - jə,4,145604,72804.0
24,bouwde,bˈʌʊdə,bʌʊ - də,1969,208410,105189.5
25,brunette,brynˈɛtə,bry - nɛ - tə,2988,995799,334511.0
26,kapotte,kaːpˈɔtə,kaː - pɔ - tə,3052,995799,386919.0
27,trage,trˈaːʒə,traː - ʒə,8546,13149,10847.5
28,deftige,dˈɛftəɣə,dɛf - tə - ɣə,8,995799,600293.6666666666
