,Word,IPA,Syllables,Min_Freq_Count,Max_Freq_Count,Mean_Freq_Count
0,toen,tˈun,tun,42,42,42.0
1,die,dˈi,di,441857,441857,441857.0
2,de,dˈə,də,208410,208410,208410.0
3,barkeeper,bˈɑrkeːpər,bɑr - keː - pər,1870,6766,4711.333333333333
4,irritante,ˌɪɾritˈɑntə,ɪɾ - ri - tɑn - tə,8,1672687,448976.75
5,bediende,bədˈində,bə - din - də,20416,208410,139788.0
6,wegliep,ʋˈɛɣlˌip,ʋɛ - ɣlip,132,18719,9425.5
7,manke,mˈɑŋkə,mɑŋ - kə,1811,671009,336410.0
8,gingen,ɣˈɪŋən,ɣɪŋ - ən,4046,193151,98598.5
9,klant,klˈɑnt,klɑnt,1,1,1.0
10,dronkaard,drˈɔŋkaːrt,drɔŋ - kaːrt,1254,2689,1971.5
11,open,ˈoːpən,oː - pən,8687,23008,15847.5
12,deuren,dˈøːrən,døː - rən,2124,6659,4391.5
13,betaalde,bətˈaːldə,bə - taːl - də,1550,208410,133499.33333333334
14,viel,vˈil,vil,856,856,856.0
15,kruk,krˈɵk,krɵk,171,171,171.0
16,lachte,lˈɑxtə,lɑx - tə,4045,1672687,838366.0
17,rector,rˈɛktɔr,rɛk - tɔr,6853,27806,17329.5
18,om,ˈɔm,ɔm,313,313,313.0
19,stoere,stˈurə,stu - rə,1593,15583,8588.0
20,puber,pˈybər,py - bər,1579,7906,4742.5
21,strafte,strˈɑftə,strɑf - tə,603,1672687,836645.0
22,was,ʋˈɑs,ʋɑs,22,22,22.0
23,erg,ˈɛrx,ɛrx,1799,1799,1799.0
24,onredelijk,ɔnrˈeːdələk,ɔn - reː - də - lək,2224,320570,177551.75
25,inbreker,ˈɪnbrˌeːkər,ɪn - breː - kər,906,5528,3530.3333333333335
26,gekrenkte,ɣˈɛkrɛŋktə,ɣɛ - krɛŋk - tə,9,1672687,565869.3333333334
27,smeekte,smˈeːktə,smeːk - tə,1749,1672687,837218.0
28,pastoor,pɑstˈoːr,pɑ - stoːr,92,34269,17180.5
29,ten,tˈɛn,tɛn,2102,2102,2102.0
30,vorige,vˈoːrəɣə,voː - rə - ɣə,15583,805074,280879.3333333333
31,raad,rˈaːt,raːt,4640,4640,4640.0
32,einde,ˈɛɪndə,ɛ - ɪn - də,906,208410,71957.0
33,bruine,brˈœynə,brœy - nə,29864,39948,34906.0
34,assistent,ˌɑsɪstˈɛnt,ɑ - sɪ - stɛnt,1342,632746,213432.0
35,week,ʋˈeːk,ʋeːk,53,53,53.0
36,tanden,tˈɑndən,tɑn - dən,14939,467900,241419.5
37,kreeg,krˈeːx,kreːx,55,55,55.0
38,maandag,mˈaːndɑx,maːn - dɑx,3941,113653,58797.0
39,uitslag,ˈœytslˌɑx,œyt - slɑx,14,8338,4176.0
40,behandelde,bəhˈɑndəldə,bəh - ɑn - dəl - də,863,1517022,435163.25
41,pokken,pˈɔkən,pɔ - kən,3052,8218,5635.0
42,medicus,mˈeːdikˌɵs,meː - di - kɵs,507,441857,158565.33333333334
43,vreemde,vrˈeːmdə,vreːm - də,4184,208410,106297.0
44,laatst,lˈaːtst,laːtst,6,6,6.0
45,zelf,zˈɛlf,zɛlf,41546,41546,41546.0
46,psychiater,psˈɪxiˌaːtər,psɪx - i - aː - tər,3772,1385476,411271.5
47,gevreesde,ɣəvrˈeːzdə,ɣə - vreːz - də,110,805074,337864.6666666667
48,zijn,zˈɛɪn,zɛ - ɪn,906,68079,34492.5
49,verslaafde,vərslˈaːvdə,vər - slaːv - də,461,222213,143694.66666666666
50,is,ˈɪs,ɪs,10,10,10.0
51,ontslag,ɔntslˈɑx,ɔnt - slɑx,8338,65527,36932.5
52,overtreder,ˌoːvərtrˈeːdər,oː - vər - treː - dər,9212,222213,76179.75
53,smeris,smˈɪːrɪs,smɪː - rɪs,4667,10420,7543.5
54,ontvlucht,ɔntvlˈɵxt,ɔnt - vlɵxt,476,65527,33001.5
55,kronkelig,krˈɔŋkələx,krɔŋ - kə - ləx,16,671009,224663.33333333334
56,een,ˈeːn,eːn,14217,14217,14217.0
57,ingerend,ˈɪnɣərˌɛnt,ɪn - ɣə - rɛnt,906,805074,269099.6666666667
58,paadje,pˈaːtjə,paːt - jə,79,13965,7022.0
59,het,hˈət,hət,1068396,1068396,1068396.0
