Word,IPA,Syllables
torens,tˈoːrəns,toː - rəns
ervaren,ɛrvˈaːrən,ɛr - vaː - rən
bespreking,bəsprˈeːkɪŋ,bə - spreː - kɪŋ
verder,vˈɛrdər,vɛr - dər
zonnen,zˈɔnən,zɔ - nən
stranden,strˈɑndən,strɑn - dən
student,stydˈɛnt,sty - dɛnt
fans,fˈɑns,fɑns
pauze,pˈʌʊzə,pʌʊ - zə
snelste,snˈɛlstə,snɛl - stə
teams,tˈiːms,tiːms
schutter,sxˈɵtər,sxɵ - tər
aanmoedigen,ˈaːnmˌudəɣən,aːn - mu - də - ɣən
advies,ɑdvˈis,ɑd - vis
leerlingen,lˈɪːrlɪŋən,lɪːr - lɪŋ - ən
lakse,lˈɑksə,lɑk - sə
uitstekende,ˈœytstˌeːkəndə,œyt - steː - kən - də
verband,vərbˈɑnt,vər - bɑnt
zestiende,zˈɛstində,zɛ - stin - də
veranderde,vərˈɑndərdə,və - rɑn - dər - də
zonden,zˈɔndən,zɔn - dən
zonder,zˈɔndər,zɔn - dər
goochelaar,ɣˈoːxəlˌaːr,ɣoːx - ə - laːr
dropje,drˈɔpjə,drɔp - jə
bouwde,bˈʌʊdə,bʌʊ - də
brunette,brynˈɛtə,bry - nɛ - tə
kapotte,kaːpˈɔtə,kaː - pɔ - tə
trage,trˈaːʒə,traː - ʒə
deftige,dˈɛftəɣə,dɛf - tə - ɣə
drugs,drˈɵxs,drɵxs
personeel,pˌɛrsoːnˈeːl,pɛr - soː - neːl
katten,kˈɑtən,kɑ - tən
procedure,prˌoːseːdˈyrə,proː - seː - dy - rə
hun,hˈɵn,hɵn
alle,ˈɑlə,ɑ - lə
dronkelap,drˈɔŋkəlˌɑp,drɔŋ - kə - lɑp
overgoten,ˌoːvərɣˈoːtən,oː - vər - ɣoː - tən
joke,jˈoːkə,joː - kə
achterste,ˈɑxtərstə,ɑx - tər - stə
project,prˈoːjɛkt,proː - jɛkt
onderdaan,ˈɔndərdˌaːn,ɔn - dər - daːn
wachtende,ʋˈɑxtəndə,ʋɑx - tən - də
ons,ˈɔns,ɔns
knipoogde,knˈipoːɣdə,kni - poːɣ - də
doelwit,dˈulʋˌɪt,dul - ʋɪt
poeders,pˈudərs,pu - dərs
brief,brˈif,brif
bosje,bˈɔsjə,bɔs - jə
opgemerkt,ˈɔpɣəmˌɛrkt,ɔp - ɣə - mɛrkt
bestaan,bəstˈaːn,bə - staːn
wijnglazen,ʋɛɪŋlˈaːzən,ʋɛɪŋ - laː - zən
partij,pɑrtˈɛɪ,pɑr - tɛɪ
voorheen,vˈɔːrhˌeːn,vɔːrh - eːn
naaien,nˈaːjən,naː - jən
geliefd,ɣəlˈift,ɣə - lift
diploma,dɪplˈoːmaː,dɪ - ploː - maː
stad,stˈɑt,stɑt
doping,dˈoːpɪŋ,doː - pɪŋ
hielp,hˈilp,hilp
barbaar,bˈɑrbaːr,bɑr - baːr
geldt,ɣˈɛlt,ɣɛlt
lijkt,lˈɛɪkt,lɛɪkt
ze,zˈə,zə
groot,ɣrˈoːt,ɣroːt
rosa,rˈoːzaː,roː - zaː
doekje,dˈukjə,duk - jə
dijken,dˈɛɪkən,dɛɪ - kən
nodig,nˈoːdəx,noː - dəx
boerderij,bˌurdərˈɛɪ,bur - də - rɛɪ
lastige,lˈɑstəɣə,lɑ - stə - ɣə
vroeger,vrˈuɣər,vru - ɣər
honderden,hˈɔndɛrdən,hɔn - dɛr - dən
raadpleegde,rˈaːdpleːɣdə,raːd - pleːɣ - də
slapen,slˈaːpən,slaː - pən
brandweerman,brˈɑndʋɪːrmˌɑn,brɑnd - ʋɪːr - mɑn
buikholte,bˈœykhɔltə,bœykh - ɔl - tə
bedorven,bədˈɔrvən,bə - dɔr - vən
waaraan,ʋaːrˈaːn,ʋaː - raːn
inspanning,ˈɪnspˌɑnɪŋ,ɪn - spɑ - nɪŋ
