TextGrid,Transcription,AlignOnset,AlignOffset,WordCount,NumWords,OnsetPhoneme,OffsetPhoneme,PresegBegin,Duration
/home/at/workdir/example_workbook.tg/EQ_Ramp_Int2_Int1LPF001.TextGrid,Toen,0.0,0.25,1,13,t,n,0,0.25
/home/at/workdir/example_workbook.tg/EQ_Ramp_Int2_Int1LPF001.TextGrid,de,0.25,0.4,2,13,d,@,0,0.15000000000000002
/home/at/workdir/example_workbook.tg/EQ_Ramp_Int2_Int1LPF001.TextGrid,barkeeper,0.4,1.19,3,13,b,r,0,0.7899999999999999
/home/at/workdir/example_workbook.tg/EQ_Ramp_Int2_Int1LPF001.TextGrid,die,1.19,1.35,4,13,d,i,0,0.16000000000000014
/home/at/workdir/example_workbook.tg/EQ_Ramp_Int2_Int1LPF001.TextGrid,de,1.35,1.42,5,13,d,@,0,0.06999999999999984
/home/at/workdir/example_workbook.tg/EQ_Ramp_Int2_Int1LPF001.TextGrid,irritante,1.42,2.1,6,13,I,@,0,0.6800000000000002
/home/at/workdir/example_workbook.tg/EQ_Ramp_Int2_Int1LPF001.TextGrid,klant,2.1,2.4,7,13,k,n,0,0.2999999999999998
/home/at/workdir/example_workbook.tg/EQ_Ramp_Int2_Int1LPF001.TextGrid,bediende,2.4,2.89,8,13,b,@,0,0.4900000000000002
/home/at/workdir/example_workbook.tg/EQ_Ramp_Int2_Int1LPF001.TextGrid,wegliep,2.89,3.32,9,13,w,p,0,0.4299999999999997
/home/at/workdir/example_workbook.tg/EQ_Ramp_Int2_Int1LPF001.TextGrid,gingen,3.56,4.05,10,13,x,@,0,0.48999999999999977
/home/at/workdir/example_workbook.tg/EQ_Ramp_Int2_Int1LPF001.TextGrid,de,4.05,4.28,11,13,d,@,0,0.23000000000000043
/home/at/workdir/example_workbook.tg/EQ_Ramp_Int2_Int1LPF001.TextGrid,deuren,4.28,4.51,12,13,d,@,0,0.22999999999999954
/home/at/workdir/example_workbook.tg/EQ_Ramp_Int2_Int1LPF001.TextGrid,open,4.51,4.91,13,13,o:,@,0,0.40000000000000036
/home/at/workdir/example_workbook.tg/EQ_Ramp_Int2_Int1LPF002.TextGrid,Toen,0.0,0.23,1,13,t,n,0,0.23
/home/at/workdir/example_workbook.tg/EQ_Ramp_Int2_Int1LPF002.TextGrid,de,0.23,0.3,2,13,d,@,0,0.06999999999999998
/home/at/workdir/example_workbook.tg/EQ_Ramp_Int2_Int1LPF002.TextGrid,manke,0.3,0.77,3,13,m,@,0,0.47000000000000003
/home/at/workdir/example_workbook.tg/EQ_Ramp_Int2_Int1LPF002.TextGrid,dronkaard,0.77,1.39,4,13,d,t,0,0.6199999999999999
/home/at/workdir/example_workbook.tg/EQ_Ramp_Int2_Int1LPF002.TextGrid,die,1.46,1.6,5,13,d,i,0,0.14000000000000012
/home/at/workdir/example_workbook.tg/EQ_Ramp_Int2_Int1LPF002.TextGrid,de,1.6,1.76,6,13,d,@,0,0.15999999999999992
/home/at/workdir/example_workbook.tg/EQ_Ramp_Int2_Int1LPF002.TextGrid,barkeeper,1.76,2.33,7,13,b,r,0,0.5700000000000001
/home/at/workdir/example_workbook.tg/EQ_Ramp_Int2_Int1LPF002.TextGrid,betaalde,2.33,2.92,8,13,b,@,0,0.5899999999999999
/home/at/workdir/example_workbook.tg/EQ_Ramp_Int2_Int1LPF002.TextGrid,lachte,2.92,3.42,9,13,l,@,0,0.5
/home/at/workdir/example_workbook.tg/EQ_Ramp_Int2_Int1LPF002.TextGrid,viel,3.6,3.81,10,13,v,l,0,0.20999999999999996
/home/at/workdir/example_workbook.tg/EQ_Ramp_Int2_Int1LPF002.TextGrid,de,3.81,3.94,11,13,d,@,0,0.1299999999999999
/home/at/workdir/example_workbook.tg/EQ_Ramp_Int2_Int1LPF002.TextGrid,kruk,3.94,4.25,12,13,k,k,0,0.31000000000000005
/home/at/workdir/example_workbook.tg/EQ_Ramp_Int2_Int1LPF002.TextGrid,om,4.25,4.62,13,13,O,m,0,0.3700000000000001
/home/at/workdir/example_workbook.tg/EQ_Ramp_Int2_Int1LPF003.TextGrid,De,0.0,0.21,1,10,d,@,0,0.21
/home/at/workdir/example_workbook.tg/EQ_Ramp_Int2_Int1LPF003.TextGrid,rector,0.21,0.65,2,10,r,r,0,0.44000000000000006
/home/at/workdir/example_workbook.tg/EQ_Ramp_Int2_Int1LPF003.TextGrid,die,0.65,0.84,3,10,d,i,0,0.18999999999999995
/home/at/workdir/example_workbook.tg/EQ_Ramp_Int2_Int1LPF003.TextGrid,de,0.84,0.95,4,10,d,@,0,0.10999999999999999
/home/at/workdir/example_workbook.tg/EQ_Ramp_Int2_Int1LPF003.TextGrid,stoere,0.95,1.34,5,10,s,r,0,0.3900000000000001
/home/at/workdir/example_workbook.tg/EQ_Ramp_Int2_Int1LPF003.TextGrid,puber,1.34,1.76,6,10,p,r,0,0.41999999999999993
/home/at/workdir/example_workbook.tg/EQ_Ramp_Int2_Int1LPF003.TextGrid,strafte,1.76,2.26,7,10,s,@,0,0.4999999999999998
/home/at/workdir/example_workbook.tg/EQ_Ramp_Int2_Int1LPF003.TextGrid,was,2.26,2.46,8,10,w,s,0,0.20000000000000018
/home/at/workdir/example_workbook.tg/EQ_Ramp_Int2_Int1LPF003.TextGrid,erg,2.46,2.79,9,10,E,x,0,0.33000000000000007
/home/at/workdir/example_workbook.tg/EQ_Ramp_Int2_Int1LPF003.TextGrid,onredelijk,2.79,3.59,10,10,O,k,0,0.7999999999999998
