X,Y,Z,Region,Size (voxels),Cluster Peak T
-52,-10,-12,"Superior Temporal Gyrus, posterior division",21728,12.77
50,-10,-14,"Superior Temporal Gyrus, posterior division",3388,9.99
10,-2,52,Juxtapositional Lobule Cortex (formerly Supplementary Motor Cortex),695,6.82
-8,56,36,Frontal Pole,606,8.08
0,-56,-38,Deep White Matter / CSF,518,6.54
42,-20,52,Postcentral Gyrus,321,6.31
12,-76,-40,Deep White Matter / CSF,268,6.19
44,0,16,Central Opercular Cortex,113,6.56
42,36,-12,Frontal Pole,110,6.08
-22,-32,-40,Deep White Matter / CSF,99,5.42
-6,-74,-36,Deep White Matter / CSF,58,5.38
50,-64,20,"Lateral Occipital Cortex, superior division",54,5.44
20,-36,-40,Deep White Matter / CSF,53,5.80
28,26,2,Insular Cortex,33,5.55
0,-36,-58,Deep White Matter / CSF,26,5.36
48,-22,22,Parietal Opercular Cortex,20,5.24
