Cluster #,Centroid,Peak,Peak T-value,Extent,File Name
1,"[-53, 3, -16]","[-52, -10, -12]",9.05,848,cluster_1_sorted.nii
2,"[2, -80, 6]","[16, -84, 6]",7.87,2226,cluster_2_sorted.nii
3,"[-38, -42, -18]","[-40, -40, -18]",7.83,1333,cluster_3_sorted.nii
4,"[54, -7, -15]","[52, -10, -14]",7.68,167,cluster_4_sorted.nii
5,"[-50, -61, 20]","[-48, -66, 20]",7.15,373,cluster_5_sorted.nii
6,"[-16, -52, 2]","[-16, -52, 4]",6.61,107,cluster_6_sorted.nii
7,"[25, -25, -4]","[24, -26, -4]",6.51,23,cluster_7_sorted.nii
8,"[47, 17, -17]","[50, 18, -14]",6.32,49,cluster_8_sorted.nii
9,"[40, -22, 52]","[40, -24, 52]",6.29,29,cluster_9_sorted.nii
10,"[-46, 32, -3]","[-46, 32, -2]",6.02,72,cluster_10_sorted.nii
