,Bigram,Count
0,aa,2730922.0
1,ab,53787.0
2,ac,404620.0
3,ad,474501.0
4,ae,32665.0
5,af,472535.0
6,ag,400262.0
7,ah,72291.0
8,ai,444826.0
9,aj,12705.0
10,ak,762048.0
11,al,2558689.0
12,am,930317.0
13,an,4143386.0
14,ao,2464.0
15,ap,270616.0
16,aq,444998.0
17,ar,1754491.0
18,as,504791.0
19,at,996808.0
20,au,611780.0
21,av,125971.0
22,aw,39687.0
23,ax,18421.0
24,ay,263095.0
25,az,35320.0
26,ba,584273.0
27,bb,74357.0
28,bc,1212.0
29,bd,2544.0
30,be,2443609.0
31,bf,1.0
32,bg,0.0
33,bh,50.0
34,bi,743491.0
35,bj,255.0
36,bk,53.0
37,bl,152155.0
38,bm,343.0
39,bn,350.0
40,bo,1606593.0
41,bp,3025.0
42,bq,0.0
43,br,191839.0
44,bs,18520.0
45,bt,930.0
46,bu,200521.0
47,bv,67.0
48,bw,50.0
49,bx,0.0
50,by,51843.0
51,bz,288.0
52,ca,177266.0
53,cb,3251.0
54,cc,33482.0
55,cd,741.0
56,ce,173200.0
57,cf,564.0
58,cg,446.0
59,ch,1999086.0
60,ci,1877307.0
61,cj,41.0
62,ck,832103.0
63,cl,78537.0
64,cm,937.0
65,cn,403.0
66,co,488809.0
67,cp,522.0
68,cq,1857.0
69,cr,70853.0
70,cs,31859.0
71,ct,116688.0
72,cu,27593.0
73,cv,4.0
74,cw,0.0
75,cx,349.0
76,cy,18822.0
77,cz,2336.0
78,da,1096946.0
79,db,77914.0
80,dc,4256.0
81,dd,203262.0
82,de,2559661.0
83,df,1269.0
84,dg,70106.0
85,dh,6927.0
86,di,1050254.0
87,dj,16143.0
88,dk,2421.0
89,dl,30978.0
90,dm,11911.0
91,dn,7737.0
92,do,394555.0
93,dp,1907.0
94,dq,2.0
95,dr,486140.0
96,ds,357110.0
97,dt,71691.0
98,du,161799.0
99,dv,10646.0
100,dw,46501.0
101,dx,1.0
102,dy,29948.0
103,dz,4821.0
104,ea,262246.0
105,eb,154238.0
106,ec,411920.0
107,ed,636500.0
108,ee,944702.0
109,ef,169410.0
110,eg,1125580.0
111,eh,134898.0
112,ei,2483878.0
113,ej,11905.0
114,ek,762098.0
115,el,4671207.0
116,em,924741.0
117,en,8542439.0
118,eo,255269.0
119,ep,189025.0
120,eq,1855.0
121,er,6799370.0
122,es,1784615.0
123,et,1684914.0
124,eu,135956.0
125,ev,317289.0
126,ew,587000.0
127,ex,248636.0
128,ey,458590.0
129,ez,100963.0
130,fa,29619.0
131,fb,3515.0
132,fc,41.0
133,fd,81902.0
134,fe,767992.0
135,ff,122042.0
136,fg,119621.0
137,fh,2515.0
138,fi,301366.0
139,fj,16283.0
140,fk,2188.0
141,fl,90623.0
142,fm,1845.0
143,fn,895.0
144,fo,116642.0
145,fp,2052.0
146,fq,0.0
147,fr,384202.0
148,fs,20744.0
149,ft,179822.0
150,fu,22679.0
151,fv,4489.0
152,fw,3645.0
153,fx,0.0
154,fy,1190.0
155,fz,1240.0
156,ga,446758.0
157,gb,2931.0
158,gc,72.0
159,gd,109191.0
160,ge,3692145.0
161,gf,6236.0
162,gg,44738.0
163,gh,452051.0
164,gi,669114.0
165,gj,2019.0
166,gk,2667.0
167,gl,403015.0
168,gm,16529.0
169,gn,43396.0
170,go,147343.0
171,gp,3290.0
172,gq,0.0
173,gr,789301.0
174,gs,1154969.0
175,gt,21874.0
176,gu,24620.0
177,gv,10398.0
178,gw,7922.0
179,gx,0.0
180,gy,2111.0
181,gz,15939.0
182,ha,1299761.0
183,hb,1886.0
184,hc,6789.0
185,hd,5121.0
186,he,822995.0
187,hf,130.0
188,hg,70.0
189,hh,205.0
190,hi,484018.0
191,hj,100.0
192,hk,84.0
193,hl,30382.0
194,hm,21572.0
195,hn,65507.0
196,ho,1237078.0
197,hp,19.0
198,hq,24.0
199,hr,36490.0
200,hs,20200.0
201,ht,373636.0
202,hu,187605.0
203,hv,6.0
204,hw,19124.0
205,hx,0.0
206,hy,155960.0
207,hz,261.0
208,ia,112581.0
209,ib,35076.0
210,ic,911860.0
211,id,469631.0
212,ie,2076673.0
213,if,73165.0
214,ig,960409.0
215,ih,7570.0
216,ii,3797.0
217,ij,1639122.0
218,ik,157922.0
219,il,2591190.0
220,im,1019572.0
221,in,2264626.0
222,io,757588.0
223,ip,54132.0
224,iq,447.0
225,ir,2884214.0
226,is,3439538.0
227,it,333345.0
228,iu,10413.0
229,iv,94073.0
230,iw,900.0
231,ix,3101.0
232,iy,1734.0
233,iz,102177.0
234,ja,1312625.0
235,jb,1385.0
236,jc,11.0
237,jd,163477.0
238,je,913788.0
239,jf,33465.0
240,jg,21485.0
241,jh,2305.0
242,ji,18400.0
243,jj,123.0
244,jk,518095.0
245,jl,8580.0
246,jm,5453.0
247,jn,79695.0
248,jo,866375.0
249,jp,6931.0
250,jq,0.0
251,jr,252.0
252,js,471745.0
253,jt,3702.0
254,ju,40398.0
255,jv,19691.0
256,jw,2981.0
257,jx,0.0
258,jy,15.0
259,jz,176535.0
260,ka,424843.0
261,kb,24135.0
262,kc,90.0
263,kd,308.0
264,ke,3143026.0
265,kf,32852.0
266,kg,1129.0
267,kh,9729.0
268,ki,312362.0
269,kj,192716.0
270,kk,65091.0
271,kl,549706.0
272,km,25331.0
273,kn,81592.0
274,ko,466342.0
275,kp,16732.0
276,kq,0.0
277,kr,88851.0
278,ks,117147.0
279,kt,179298.0
280,ku,286858.0
281,kv,18506.0
282,kw,131960.0
283,kx,745.0
284,ky,127178.0
285,kz,4238.0
286,la,2444604.0
287,lb,1009017.0
288,lc,12727.0
289,ld,840998.0
290,le,4397946.0
291,lf,34029.0
292,lg,87532.0
293,lh,45052.0
294,li,3369152.0
295,lj,3707.0
296,lk,128972.0
297,ll,2754440.0
298,lm,28212.0
299,ln,456130.0
300,lo,1188135.0
301,lp,23629.0
302,lq,20.0
303,lr,4032.0
304,ls,114609.0
305,lt,1858662.0
306,lu,273011.0
307,lv,67012.0
308,lw,158019.0
309,lx,0.0
310,ly,78238.0
311,lz,2873.0
312,ma,957657.0
313,mb,224723.0
314,mc,1772599.0
315,md,10432.0
316,me,1659354.0
317,mf,160763.0
318,mg,16864.0
319,mh,16551.0
320,mi,342154.0
321,mj,786590.0
322,mk,6761.0
323,ml,39313.0
324,mm,407998.0
325,mn,2035.0
326,mo,1055897.0
327,mp,51276.0
328,mq,194489.0
329,mr,737617.0
330,ms,35219.0
331,mt,6305.0
332,mu,111230.0
333,mv,2559.0
334,mw,3352.0
335,mx,0.0
336,my,334931.0
337,mz,189618.0
338,na,523332.0
339,nb,79637.0
340,nc,74991.0
341,nd,2576478.0
342,ne,1475977.0
343,nf,415980.0
344,ng,2927082.0
345,nh,66106.0
346,ni,638298.0
347,nj,153193.0
348,nk,476574.0
349,nl,49228.0
350,nm,16848.0
351,nn,746302.0
352,no,847517.0
353,np,16967.0
354,nq,2785.0
355,nr,14586.0
356,ns,612425.0
357,nt,1477178.0
358,nu,53323.0
359,nv,112287.0
360,nw,101377.0
361,nx,1026.0
362,ny,328811.0
363,nz,114667.0
364,oa,24840.0
365,ob,95880.0
366,oc,270017.0
367,od,193327.0
368,oe,837795.0
369,of,242332.0
370,og,285914.0
371,oh,21900.0
372,oi,1683244.0
373,oj,1052.0
374,ok,155024.0
375,ol,2233880.0
376,om,2473734.0
377,on,2451854.0
378,oo,3901750.0
379,op,976321.0
380,oq,729.0
381,or,2597583.0
382,os,588208.0
383,ot,1595020.0
384,ou,846499.0
385,ov,145547.0
386,ow,48010.0
387,ox,92328.0
388,oy,169473.0
389,oz,73271.0
390,pa,319786.0
391,pb,4280.0
392,pc,610.0
393,pd,8477.0
394,pe,1062538.0
395,pf,531.0
396,pg,10860.0
397,ph,23282.0
398,pi,1566256.0
399,pj,22580.0
400,pk,7302.0
401,pl,97171.0
402,pm,1846.0
403,pn,21349.0
404,po,490468.0
405,pp,297911.0
406,pq,0.0
407,pr,242781.0
408,ps,133657.0
409,pt,51860.0
410,pu,45003.0
411,pv,13913.0
412,pw,3212.0
413,px,491.0
414,py,9224.0
415,pz,3356.0
416,qa,151.0
417,qb,0.0
418,qc,6.0
419,qd,0.0
420,qe,10.0
421,qf,0.0
422,qg,0.0
423,qh,15.0
424,qi,540.0
425,qj,0.0
426,qk,0.0
427,ql,0.0
428,qm,0.0
429,qn,0.0
430,qo,86.0
431,qp,0.0
432,qq,0.0
433,qr,0.0
434,qs,0.0
435,qt,0.0
436,qu,664215.0
437,qv,0.0
438,qw,0.0
439,qx,0.0
440,qy,0.0
441,qz,0.0
442,ra,2220035.0
443,rb,87286.0
444,rc,53983.0
445,rd,823655.0
446,re,1607974.0
447,rf,16356.0
448,rg,709881.0
449,rh,571432.0
450,ri,1787712.0
451,rj,8453.0
452,rk,2174749.0
453,rl,344538.0
454,rm,1049306.0
455,rn,503424.0
456,ro,1417238.0
457,rp,40052.0
458,rq,1283.0
459,rr,200692.0
460,rs,834594.0
461,rt,1154116.0
462,ru,1082518.0
463,rv,59129.0
464,rw,34493.0
465,rx,102.0
466,ry,80459.0
467,rz,85749.0
468,sa,319876.0
469,sb,60736.0
470,sc,1079447.0
471,sd,52948.0
472,se,763112.0
473,sf,17053.0
474,sg,508778.0
475,sh,326786.0
476,si,1091620.0
477,sj,241012.0
478,sk,146903.0
479,sl,1064500.0
480,sm,89457.0
481,sn,91698.0
482,so,369446.0
483,sp,1518373.0
484,sq,6414.0
485,sr,11053.0
486,ss,1070262.0
487,st,2307098.0
488,su,38749.0
489,sv,39865.0
490,sw,39239.0
491,sx,0.0
492,sy,156747.0
493,sz,4340.0
494,ta,892070.0
495,tb,118193.0
496,tc,25346.0
497,td,10762.0
498,te,3522714.0
499,tf,3349.0
500,tg,33865.0
501,th,446916.0
502,ti,1353437.0
503,tj,104770.0
504,tk,23342.0
505,tl,314550.0
506,tm,52713.0
507,tn,63258.0
508,to,2236591.0
509,tp,14243.0
510,tq,0.0
511,tr,1199332.0
512,ts,235160.0
513,tt,519286.0
514,tu,118674.0
515,tv,32599.0
516,tw,57710.0
517,tx,0.0
518,ty,43880.0
519,tz,34151.0
520,ua,213527.0
521,ub,648428.0
522,uc,94927.0
523,ud,671255.0
524,ue,464278.0
525,uf,29321.0
526,ug,117069.0
527,uh,5663.0
528,ui,687028.0
529,uj,147.0
530,uk,56724.0
531,ul,1284792.0
532,um,328356.0
533,un,125750.0
534,uo,1250.0
535,up,51653.0
536,uq,583.0
537,ur,346154.0
538,us,727825.0
539,ut,137082.0
540,uu,78760.0
541,uv,1470.0
542,uw,98896.0
543,ux,3147.0
544,uy,2391.0
545,uz,46738.0
546,va,313419.0
547,vb,0.0
548,vc,0.0
549,vd,66.0
550,ve,1767776.0
551,vf,0.0
552,vg,9.0
553,vh,346.0
554,vi,226005.0
555,vj,470.0
556,vk,1.0
557,vl,105784.0
558,vm,0.0
559,vn,897.0
560,vo,2123358.0
561,vp,6.0
562,vq,0.0
563,vr,62231.0
564,vs,48043.0
565,vt,16.0
566,vu,1199264.0
567,vv,175.0
568,vw,1.0
569,vx,131.0
570,vy,17735.0
571,vz,0.0
572,wa,409327.0
573,wb,8592.0
574,wc,360.0
575,wd,13345.0
576,we,1965886.0
577,wf,382.0
578,wg,1298.0
579,wh,8723.0
580,wi,658045.0
581,wj,28.0
582,wk,867.0
583,wl,16018.0
584,wm,1273.0
585,wn,7085.0
586,wo,933919.0
587,wp,233.0
588,wq,35.0
589,wr,15378.0
590,ws,37683.0
591,wt,9874.0
592,wu,2501.0
593,wv,7317.0
594,ww,84.0
595,wx,0.0
596,wy,1845.0
597,wz,623.0
598,xa,47762.0
599,xb,13.0
600,xc,1178.0
601,xd,25.0
602,xe,1586.0
603,xf,559.0
604,xg,0.0
605,xh,19.0
606,xi,4709.0
607,xj,0.0
608,xk,0.0
609,xl,1283.0
610,xm,177.0
611,xn,0.0
612,xo,876.0
613,xp,7459.0
614,xq,0.0
615,xr,4.0
616,xs,44.0
617,xt,7953.0
618,xu,440.0
619,xv,13.0
620,xw,15.0
621,xx,19.0
622,xy,369.0
623,xz,0.0
624,ya,433846.0
625,yb,8072.0
626,yc,108972.0
627,yd,55479.0
628,ye,19288.0
629,yf,394.0
630,yg,317.0
631,yh,3022.0
632,yi,505.0
633,yj,10.0
634,yk,1303.0
635,yl,37306.0
636,ym,69066.0
637,yn,18266.0
638,yo,8628.0
639,yp,28264.0
640,yq,0.0
641,yr,14989.0
642,ys,67509.0
643,yt,26493.0
644,yu,1179.0
645,yv,802.0
646,yw,266.0
647,yx,44.0
648,yy,98.0
649,yz,388.0
650,za,308657.0
651,zb,413.0
652,zc,158.0
653,zd,19.0
654,ze,1671440.0
655,zf,0.0
656,zg,468.0
657,zh,218.0
658,zi,123482.0
659,zj,23.0
660,zk,402.0
661,zl,1143.0
662,zm,643.0
663,zn,15.0
664,zo,40239.0
665,zp,2.0
666,zq,4.0
667,zr,0.0
668,zs,272.0
669,zt,373.0
670,zu,95553.0
671,zv,40.0
672,zw,26656.0
673,zx,0.0
674,zy,103803.0
675,zz,5766.0
