Word,IPA,Syllables
toen,tˈun,tun
die,dˈi,di
de,dˈə,də
barkeeper,bˈɑrkeːpər,bɑr - keː - pər
irritante,ˌɪɾritˈɑntə,ɪɾ - ri - tɑn - tə
bediende,bədˈində,bə - din - də
wegliep,ʋˈɛɣlˌip,ʋɛ - ɣlip
manke,mˈɑŋkə,mɑŋ - kə
gingen,ɣˈɪŋən,ɣɪŋ - ən
klant,klˈɑnt,klɑnt
dronkaard,drˈɔŋkaːrt,drɔŋ - kaːrt
open,ˈoːpən,oː - pən
deuren,dˈøːrən,døː - rən
betaalde,bətˈaːldə,bə - taːl - də
viel,vˈil,vil
kruk,krˈɵk,krɵk
lachte,lˈɑxtə,lɑx - tə
rector,rˈɛktɔr,rɛk - tɔr
om,ˈɔm,ɔm
stoere,stˈurə,stu - rə
puber,pˈybər,py - bər
strafte,strˈɑftə,strɑf - tə
was,ʋˈɑs,ʋɑs
erg,ˈɛrx,ɛrx
onredelijk,ɔnrˈeːdələk,ɔn - reː - də - lək
inbreker,ˈɪnbrˌeːkər,ɪn - breː - kər
gekrenkte,ɣˈɛkrɛŋktə,ɣɛ - krɛŋk - tə
smeekte,smˈeːktə,smeːk - tə
pastoor,pɑstˈoːr,pɑ - stoːr
ten,tˈɛn,tɛn
vorige,vˈoːrəɣə,voː - rə - ɣə
raad,rˈaːt,raːt
einde,ˈɛɪndə,ɛ - ɪn - də
bruine,brˈœynə,brœy - nə
assistent,ˌɑsɪstˈɛnt,ɑ - sɪ - stɛnt
week,ʋˈeːk,ʋeːk
tanden,tˈɑndən,tɑn - dən
kreeg,krˈeːx,kreːx
maandag,mˈaːndɑx,maːn - dɑx
uitslag,ˈœytslˌɑx,œyt - slɑx
behandelde,bəhˈɑndəldə,bəh - ɑn - dəl - də
pokken,pˈɔkən,pɔ - kən
medicus,mˈeːdikˌɵs,meː - di - kɵs
vreemde,vrˈeːmdə,vreːm - də
laatst,lˈaːtst,laːtst
zelf,zˈɛlf,zɛlf
psychiater,psˈɪxiˌaːtər,psɪx - i - aː - tər
gevreesde,ɣəvrˈeːzdə,ɣə - vreːz - də
zijn,zˈɛɪn,zɛ - ɪn
verslaafde,vərslˈaːvdə,vər - slaːv - də
is,ˈɪs,ɪs
ontslag,ɔntslˈɑx,ɔnt - slɑx
overtreder,ˌoːvərtrˈeːdər,oː - vər - treː - dər
smeris,smˈɪːrɪs,smɪː - rɪs
ontvlucht,ɔntvlˈɵxt,ɔnt - vlɵxt
kronkelig,krˈɔŋkələx,krɔŋ - kə - ləx
een,ˈeːn,eːn
ingerend,ˈɪnɣərˌɛnt,ɪn - ɣə - rɛnt
paadje,pˈaːtjə,paːt - jə
het,hˈət,hət
eigenaars,ˈɛɪɣənˌaːrs,ɛ - ɪ - ɣə - naːrs
landgoed,lˈɑndɣˌut,lɑnd - ɣut
van,vˈɑn,vɑn
bezoekers,bəzˈukərs,bə - zu - kərs
honderden,hˈɔndɛrdən,hɔn - dɛr - dən
gisteren,ɣˈɪstərən,ɣɪ - stə - rən
rondleiden,rˈɔndlɛɪdən,rɔnd - lɛ - ɪ - dən
filmster,fˈɪlmstər,fɪlm - stər
trots,trˈɔts,trɔts
beschermde,bəsxˈɛrmdə,bə - sxɛrm - də
had,hˈɑt,hɑt
brede,brˈeːdə,breː - də
bodyguard,bˈoːdiɣˌyɑrt,boː - di - ɣy - ɑrt
vrije,vrˈɛɪə,vrɛ - ɪ - ə
morgen,mˈɔrɣən,mɔr - ɣən
krijgt,krˈɛɪxt,krɛ - ɪxt
dag,dˈɑx,dɑx
beroemde,bərˈumdə,bə - rum - də
ober,ˈoːbər,oː - bər
president,prˌeːzidˈɛnt,preː - zi - dɛnt
beledigde,bəlˈeːdɪɣdə,bə - leː - dɪɣ - də
bandage,bɑndˈaːʒə,bɑn - daː - ʒə
eerst,ˈɪːrst,ɪːrst
vieze,vˈizə,vi - zə
arts,ˈɑrts,ɑrts
plastic,plˈɑstɪk,plɑ - stɪk
verschoonde,vərsxˈoːndə,vər - sxoːn - də
trok,trˈɔk,trɔk
handschoenen,hˈɑndsxunən,hɑnd - sxu - nən
met,mˈɛt,mɛt
aan,ˈaːn,aːn
sportarts,spˈɔrtˌɑrts,spɔr - tɑrts
gescheurde,ɣəsxˈøːrdə,ɣə - sxøːr - də
adviseert,ˌɑdvizˈɪrt,ɑd - vi - zɪrt
pezen,pˈeːzən,peː - zən
oma,ˈoːmaː,oː - maː
hockeyer,hˈɔkəˌiər,hɔ - kə - i - ər
verstand,vərstˈɑnt,vər - stɑnt
er,ˈər,ər
heeft,hˈeːft,heːft
veel,vˈeːl,veːl
moest,mˈust,must
verpleegster,vərplˈeːxstər,vər - pleːx - stər
gebroken,ɣəbrˈoːkən,ɣə - broː - kən
bekken,bˈɛkən,bɛ - kən
raadpleegde,rˈaːdpleːɣdə,raːd - pleːɣ - də
huilen,hˈœylən,hœy - lən
alcoholist,ˌɑlkoːhoːlˈɪst,ɑl - koːh - oː - lɪst
weer,ʋˈɪːr,ʋɪːr
bekende,bəkˈɛndə,bə - kɛn - də
psycholoog,psˈɪxoːlˌoːx,psɪx - oː - loːx
scholier,sxoːlˈir,sxoː - lir
meester,mˈeːstˌɛr,meː - stɛr
terugval,tərˈɵxvˌɑl,tə - rɵx - vɑl
treitert,trˈɛɪtərt,trɛ - ɪ - tərt
alweer,ɑlʋˈɪr,ɑl - ʋɪr
stoel,stˈul,stul
punaises,pˌynɑjzˈɛs,py - nɑj - zɛs
gelegd,ɣəlˈɛxt,ɣə - lɛxt
jochem,jˈɔxəm,jɔx - əm
op,ˈɔp,ɔp
te,tˈə,tə
altijd,ˈɑltɛɪt,ɑl - tɛ - ɪt
tijdens,tˈɛɪdəns,tɛ - ɪ - dəns
basketbal,bˈɑskɛtbˌɑl,bɑ - skɛt - bɑl
hoog,hˈoːx,hoːx
springt,sprˈɪŋt,sprɪŋt
bezeerd,bəzˈɪːrt,bə - zɪːrt
agressieve,ˌɑɣrɛsˈivə,ɑ - ɣrɛ - si - və
enkel,ˈɛŋkəl,ɛŋ - kəl
arresteert,ˌɑɾrɛstˈɪrt,ɑɾ - rɛ - stɪrt
politieman,poːlˈitsimˌɑn,poː - lit - si - mɑn
kraker,krˈaːkər,kraː - kər
hardhandig,hɑrdhˈɑndəx,hɑrdh - ɑn - dəx
werk,ʋˈɛrk,ʋɛrk
gaat,ɣˈaːt,ɣaːt
staker,stˈaːkər,staː - kər
angstige,ˈɑŋstəɣə,ɑŋ - stə - ɣə
bekogelt,bəkˈoːɣəlt,bə - koː - ɣəlt
ver,vˈɛr,vɛr
dames,dˈaːməs,daː - məs
interviewt,ˌɪntərvˈiwt,ɪn - tər - viwt
journalist,ʒˌurnaːlˈɪst,ʒur - naː - lɪst
tuberculose,tˈybərkˌyloːsə,ty - bər - ky - loː - sə
zuster,zˈɵstər,zɵ - stər
wil,ʋˈɪl,ʋɪl
bondscoach,bˈɔndskoːtʃ,bɔnd - skoːtʃ
weten,ʋˈeːtən,ʋeː - tən
lijdende,lˈɛɪdəndə,lɛ - ɪ - dən - də
wast,ʋˈɑst,ʋɑst
bejaarde,bəjˈaːrdə,bə - jaːr - də
enthousiaste,ˌɛntuʒˈɑstə,ɛn - tu - ʒɑ - stə
zorgzaam,zˈɔrɣzaːm,zɔrɣ - zaːm
vrijwilliger,vrɛɪʋˈɪləɣər,vrɛ - ɪ - ʋɪ - lə - ɣər
goochelaar,ɣˈoːxəlˌaːr,ɣoːx - ə - laːr
publiek,pɵblˈik,pɵ - blik
geduldige,ɣədˈɵldəɣə,ɣə - dɵl - də - ɣə
instrueert,ˈɪnstryˌɪrt,ɪn - stry - ɪrt
uit,ˈœyt,œyt
baby,bˈeːbi,beː - bi
doopt,dˈoːpt,doːpt
onduidelijk,ɔndˈœydələk,ɔn - dœy - də - lək
dominee,dˌoːminˈeː,doː - mi - neː
begint,bəɣˈɪnt,bə - ɣɪnt
spreken,sprˈeːkən,spreː - kən
voorganger,vˈɔːrɣɑŋər,vɔːr - ɣɑŋ - ər
snoezige,snˈuzəɣə,snu - zə - ɣə
kleintje,klˈɛɪntʲə,klɛ - ɪntʲ - ə
stevig,stˈeːvəx,steː - vəx
houdt,hˈʌʊt,hʌʊt
haar,hˈaːr,haːr
vast,vˈɑst,vɑst
boterham,bˈoːtərhˌɑm,boː - tərh - ɑm
meisje,mˈɛɪsjə,mɛ - ɪs - jə
dat,dˈɑt,dɑt
pindakaas,pˌɪndaːkˈaːs,pɪn - daː - kaːs
zonder,zˈɔndər,zɔn - dər
dochter,dˈɔxtər,dɔx - tər
verwend,vərʋˈɛnt,vər - ʋɛnt
schone,sxˈoːnə,sxoː - nə
robert,rˈoːbɛrt,roː - bɛrt
huwelijk,hˈywələk,hyw - ə - lək
jan,jˈɑn,jɑn
slikte,slˈɪktə,slɪk - tə
vroeg,vrˈux,vrux
opspoort,ˈɔpspɔːrt,ɔp - spɔːrt
detective,dˈeːtɛktˌivə,deː - tɛk - ti - və
criminelen,krˌiminˈeːlən,kri - mi - neː - lən
vette,vˈɛtə,vɛ - tə
staat,stˈaːt,staːt
speurhond,spˈøːrhɔnt,spøːrh - ɔnt
beloning,bəlˈoːnɪŋ,bə - loː - nɪŋ
drugs,drˈɵxs,drɵxs
illegale,ˌɪləɣˈaːlə,ɪ - lə - ɣaː - lə
koekje,kˈukjə,kuk - jə
trage,trˈaːʒə,traː - ʒə
afschudt,ˈɑfsxˌɵt,ɑf - sxɵt
gedetineerde,ɣədˌeːtinˈɪrdə,ɣə - deː - ti - nɪr - də
hulp,hˈɵlp,hɵlp
vandaag,vɑndˈaːx,vɑn - daːx
bewaker,bəʋˈaːkər,bə - ʋaː - kər
laatste,lˈaːtstə,laːt - stə
handlanger,hˈɑndlɑŋər,hɑnd - lɑŋ - ər
examinator,ˌɛksaːminˈaːtɔr,ɛk - saː - mi - naː - tɔr
kandidaat,kˌɑndidˈaːt,kɑn - di - daːt
overtuigt,ˌoːvərtˈœyxt,oː - vər - tœyxt
spits,spˈɪts,spɪts
imponerend,ˌɪmpoːnˈɪːrənt,ɪm - poː - nɪː - rənt
opstelde,ˈɔpstɛldə,ɔp - stɛl - də
cruciale,krˈyʃaːlə,kry - ʃaː - lə
trainer,trˈeːnər,treː - nər
training,trˈeːnɪŋ,treː - nɪŋ
wist,ʋˈɪst,ʋɪst
gevaarlijke,ɣəvˈaːrləkə,ɣə - vaːr - lə - kə
gemist,ɣəmˈɪst,ɣə - mɪst
slachtoffers,slˈɑxtɔfərs,slɑx - tɔ - fərs
niemand,nˈimɑnt,ni - mɑnt
tornado,tɔrnˈaːdoː,tɔr - naː - doː
ontstond,ɔntstˈɔnt,ɔnt - stɔnt
eisen,ˈɛɪzən,ɛ - ɪ - zən
dieven,dˈivən,di - vən
zou,zˈʌʊ,zʌʊ
ontsnapte,ɔntsnˈɑptə,ɔnt - snɑp - tə
