Word,IPA,FREQcount,Zipf,CELEX,Equal # of Syllables
hoi,hoː - i,7790,5.24709553121572,hOj,False
sergeant,sɛr - ɣə - ɑnt,2714,4.78927216079162,sEr - ZAnt,False
belachelijk,bə - lɑ - ʃlək,2553,4.762723219794151,b@ - lA - x@ - l@k,False
deal,deː - ɑl,2471,4.748550793283533,dil,False
weekend,(en)w - iː - kɛnd(nl),2440,4.743070106283943,wi - kEnt,False
race,(en)ɹ - e - ɪs(nl),1151,4.416954805953948,res,False
tape,taː - pə,752,4.232297303067455,tep,False
live,li - və,716,4.211021482534555,lAjf,False
cowboy,kɔʋ - boː - i,669,4.181577129567581,kM - bOj,False
monsieur,mɔn - si - ɵr,589,4.126354338508898,m@ - S|,False
coke,koː - kə,480,4.037647403240586,kok,False
stoned,stoː - nɛt,459,4.018260158548329,stont,False
proficiat,proː - fi - ʃɑt,446,4.005809849998691,pro - fi - si - jAt,False
cake,kaː - kə,431,3.990986073681666,kek,False
mille,mɪ - lə,430,3.989979597027486,mil,False
freak,freː - ɑk,406,3.965096736091974,frik,False
loyaliteit,loː - i - aː - li - tɛɪt,403,3.96188369197736,lo - ja - li - tKt,False
sydney,sɪd - nə - i,396,3.95429283362987,sId - ni,False
visioen,vi - ʒun,383,3.939833551234285,vi - zi - jun,False
dealer,deː - aː - lər,368,3.922528693025815,di - l@r,False
religieuze,reː - li - ɣi - jøː - zə,337,3.884419027144409,re - li - Gj| - z@,False
patrouille,pɑ - trʌʊ - ɪ - lə,334,3.8805471339036,pA - tru - j@,False
quitte,kvɪ - tə,324,3.867385687845629,kit,False
analyse,aː - naː - li - ɪ - sə,322,3.864704849197858,a - na - l! - z@,False
love,loː - və,304,3.83980216621354,l}f,False
boy,boː - i,296,3.828258776183967,bOj,False
business,by - zi - nəss,292,3.822369947220864,bIs - nIs,False
database,daː - taː - baː - sə,291,3.820885178315173,da - ta - bes,False
joint,joː - ɪnt,285,3.811868359995798,_Ojnt,False
crash,(en)kɹ - aʃ(nl),283,3.808820666913793,krES,False
badge,bɑd - ɣə,271,3.790071230900953,bEtS,False
barbecue,bɑr - bə - ky - ə,269,3.786866091025742,bAr - b@ - kjuw,False
clean,kleː - ɑn,238,3.733900227814893,klin,False
loyaal,loː - i - aːl,235,3.728414329836861,lo - jal,False
close,kloː - sə,235,3.728414329836861,klos,False
jersey,jɛr - sə - i,228,3.715337809206642,_}r - si,False
steak,steː - ɑk,224,3.707684844978117,stek,False
game,(en)ɡ - e - ɪm(nl),219,3.697925007688961,gem,False
deadline,deː - ɑd - li - nə,219,3.697925007688961,dEd - lAjn,False
cruise,krœy - zə,219,3.697925007688961,krus,False
file,fi - lə,216,3.691962060715284,fAjl,False
software,(en)sɒftw - e - ə(nl),210,3.679784782164447,sOft - w)r,False
spike,spi - kə,200,3.658698384287244,spAjk,False
farao,faː - rʌʊ,200,3.658698384287244,fa - ra - o,False
ace,aː - sə,180,3.613180901735939,es,False
religieus,reː - li - ɣi - jøːs,169,3.585951248245029,re - li - Gj|s,False
stewardess,steː - ʋɑrtss,168,3.583389031480428,stju - wAr - dEs,False
cornflakes,kɔrn - flaː - kəs,163,3.570346174914452,kOrn - fleks,False
circuit,sɪr - ku - i,160,3.562328202898605,sIr - kwi,False
prototype,proː - toː - ti - ɪ - pə,155,3.548626925221216,pro - to - ti - p@,False
trance,trɑn - sə,149,3.531593585922436,trAns,False
mail,meː - ɪl,147,3.525764042261712,mel,False
safe,saː - fə,146,3.522819661614931,sef,False
cape,kaː - pə,143,3.513864818962004,kep,False
playboy,plaːj - boː - i,141,3.507790671249811,ple - bOj,False
goal,ɣoː - ɑl,140,3.504721439522134,gol,False
face,faː - sə,139,3.501630362544993,fAs,False
fouilleren,fʌʊ - ɪ - lɪː - rən,138,3.49851712712085,fu - je - r@,False
bridge,brɪd - ɣə,138,3.49851712712085,brItS,False
blues,bly - ɛs,137,3.495381413267991,bluws,False
paranoia,paː - raː - noː - i - aː,136,3.492222894023161,pa - ra - no - ja,False
avenue,aː - və - ny - ə,136,3.492222894023161,a - v@ - ny,False
take,taː - kə,134,3.485836095361761,tek,False
jeans,jeː - ɑns,134,3.485836095361761,_ins,False
dealen,deː - aː - lən,132,3.47935396783384,di - l@,False
typen,ti - ɪ - pən,130,3.472773622522519,ti - p@,False
magazine,maː - ɣaː - zi - nə,128,3.466092037166003,mE - g@ - zin,False
coyote,koː - i - oː - tə,127,3.462712296514623,ko - jo - t@,False
hockey,hɔ - kə - i,123,3.44892401202899,hO - ki,False
regime,reː - ɣi - mə,119,3.43468357291438,re - Zim,False
bye,bi - ə,117,3.42738433417288,bAj,False
charleston,ʃɑr - lɛ - stɔn,115,3.419960316093673,tSAl - st@n,False
hole,hoː - lə,108,3.392928824807378,hol,False
baseball,baː - zə - bɑl,105,3.380808192131525,bez - bOl,False
bodyguard,boː - di - ɣy - ɑrt,104,3.376691625936693,bO - di - gArt,False
apache,aː - pɑʃ,103,3.372535666165535,a - pA - tS@,False
point,poː - ɪnt,100,3.359823700649397,pw)n,False
care,kaː - rə,97,3.34672840255925,k)r,False
ijshockey,ɛɪsh - ɔ - keː - i,95,3.337773559906323,Ks - hO - ki,False
entertainment,(en) - ɛn - tə - te - ɪn - mənt(nl),95,3.337773559906323,En - t@r - ten - m@nt,False
typemachine,ti - pə - maː - ʃi - nə,94,3.333225932155602,tip - mA - Si - n@,False
damestoilet,daː - mɛ - stoː - i - lɛt,87,3.299984999016923,da - m@s - twA - lEt,False
toiletpapier,toː - i - lɛt - paː - pir,85,3.290000778110322,twA - lEt - pa - pir,False
home,(en)h - əʊm(nl),85,3.290000778110322,hom,False
email,eː - meː - ɪl,84,3.284921252581047,e - mAj,False
patrouilleren,pɑ - trʌʊ - ɪ - lɪː - rən,83,3.279781612928636,pA - tru - je - r@,False
jockey,jɔ - kə - i,83,3.279781612928636,_O - ki,False
speaker,speː - aː - kər,81,3.269316179250471,spi - k@r,False
relaxed,reː - lɑk - sɛt,80,3.263987345745405,ri - lEkst,False
foyer,foː - i - ər,80,3.263987345745405,fwA - je,False
drive,dri - və,75,3.236315919147546,drAjf,False
beat,bə - ɑt,75,3.236315919147546,bit,False
lesbienne,lɛz - bi - nə,74,3.230563590258455,lEz - bi - jE - n@,False
adieu,aː - di - y,74,3.230563590258455,a - dj|,False
broche,brɔ - ʃə,73,3.224734046597731,brOS,False
patience,paː - tin - sə,72,3.21882518698721,pa - SAns,False
milkshake,(en) - mɪlk - ʃe - ɪk(nl),71,3.212834823298023,mIlk - Sek,False
lounge,lʌʊŋ - ə,71,3.212834823298023,lMntS,False
deuce,døː - sə,71,3.212834823298023,_us,False
royaal,roː - i - aːl,69,3.200600366881011,ro - jal,False
royaal,roː - i - aːl,69,3.200600366881011,ro - jal,False
sweater,sʋeː - aː - tər,68,3.19435141760401,swE - t@r,False
memoires,meː - moː - i - rɛs,68,3.19435141760401,me - mwa - r@s,False
psyche,psɪʃ,67,3.188011239572991,psi - x@,False
psyche,psɪʃ,67,3.188011239572991,psi - xe,False
manoeuvre,maː - nu - ɵ - vrə,67,3.188011239572991,ma - n* - vr@,False
herentoilet,hɪː - rən - toː - i - lɛt,67,3.188011239572991,he - r@ - twA - lEt,False
abc,ɑpk,67,3.188011239572991,a - be - se,False
afleidingsmanoeuvre,ɑ - flɛɪ - dɪŋ - smaː - nu - ɵ - vrə,66,3.181577129567581,Af - lK - dINs - ma - n* - vr@,False
break,breː - ɑk,65,3.175046262408623,brek,False
