Word,n_syllables,Log10_Syllable_FREQcounts,Syllable_Zipfs,Min_Log10_FreqCount,Max_Log10_FreqCount,Mean_Log10_FreqCount,Min_Syll_Zipf,Bigrams,Bigram Occurrence Counts,Zipf
toen,1.0,"(4.680453364401369,)","(5.90738474893631,)",4.680453364401369,4.680453364401369,4.680453364401369,5.90738474893631,"['to', 'oe', 'en']","[2236591.0, 837795.0, 8542439.0]",6.032333060467471
de,1.0,"(6.234172950952972,)","(7.461104335487914,)",6.234172950952972,6.234172950952972,6.234172950952972,7.461104335487914,['de'],[2559661.0],7.381290564617263
barkeeper,3.0,"(3.9745116927373285, 3.177824971864682, 4.710760288222427)","(5.20144307727227, 4.4047563563996235, 5.937691672757369)",3.177824971864682,4.710760288222427,3.95436565094148,4.404756356399624,"['ba', 'ar', 'rk', 'ke', 'ee', 'ep', 'pe', 'er']","[584273.0, 1754491.0, 2174749.0, 3143026.0, 944702.0, 189025.0, 1062538.0, 6799370.0]",3.622674055269768
die,1.0,"(5.527754887527666,)","(6.754686272062608,)",5.527754887527666,5.527754887527666,5.527754887527666,6.754686272062608,"['di', 'ie']","[1050254.0, 2076673.0]",6.853870782727223
irritante,4.0,"(3.0461047872460387, 4.870825118775824, 4.005823753029028, 5.910038726309899)","(4.27303617178098, 6.097756503310765, 5.232755137563968, 7.13697011084484)",3.0461047872460387,5.910038726309899,4.4581980963401975,4.27303617178098,"['ir', 'rr', 'ri', 'it', 'ta', 'an', 'nt', 'te']","[2884214.0, 200692.0, 1787712.0, 333345.0, 892070.0, 4143386.0, 1477178.0, 3522714.0]",3.2849212525810474
klant,1.0,"(3.208710019906401,)","(4.435641404441342,)",3.208710019906401,3.208710019906401,3.208710019906401,4.435641404441342,"['kl', 'la', 'an', 'nt']","[549706.0, 2444604.0, 4143386.0, 1477178.0]",4.544711816449061
bediende,3.0,"(5.7420971887829415, 3.910250772300148, 6.234172950952972)","(6.969028573317883, 5.137182156835089, 7.461104335487914)",3.910250772300148,6.234172950952972,5.295506970678687,5.137182156835089,"['be', 'ed', 'di', 'ie', 'en', 'nd', 'de']","[2443609.0, 636500.0, 1050254.0, 2076673.0, 8542439.0, 2576478.0, 2559661.0]",4.043922148869465
wegliep,2.0,"(4.9745116927373285, 3.5720579899263045)","(6.20144307727227, 4.798989374461246)",3.5720579899263045,4.9745116927373285,4.273284841331817,4.798989374461246,"['we', 'eg', 'gl', 'li', 'ie', 'ep']","[1965886.0, 1125580.0, 403015.0, 3369152.0, 2076673.0, 189025.0]",3.476076258072605
gingen,2.0,"(4.482959291167214, 5.7314662752592405)","(5.709890675702155, 6.958397659794182)",4.482959291167214,5.7314662752592405,5.107212783213227,5.709890675702155,"['gi', 'in', 'ng', 'ge', 'en']","[669114.0, 2264626.0, 2927082.0, 3692145.0, 8542439.0]",5.0104485534510985
deuren,2.0,"(3.2984163800612945, 5.482819293405307)","(4.525347764596235, 6.7097506779402485)",3.2984163800612945,5.482819293405307,4.390617836733301,4.525347764596235,"['de', 'eu', 'ur', 're', 'en']","[2559661.0, 135956.0, 346154.0, 1607974.0, 8542439.0]",4.51023053430691
open,2.0,"(5.468992384083093, 5.250193036344548)","(6.695923768618035, 6.477124420879489)",5.250193036344548,5.468992384083093,5.359592710213821,6.477124420879489,"['op', 'pe', 'en']","[976321.0, 1062538.0, 8542439.0]",5.5247651909532
manke,2.0,"(5.0582589559872, 5.232299665207751)","(6.285190340522141, 6.459231049742693)",5.0582589559872,5.232299665207751,5.145279310597475,6.285190340522141,"['ma', 'an', 'nk', 'ke']","[957657.0, 4143386.0, 476574.0, 3143026.0]",3.1263543385088988
dronkaard,2.0,"(2.9929950984313414, 3.7803893284709527)","(4.219926482966283, 5.007320713005894)",2.9929950984313414,3.7803893284709527,3.386692213451147,4.219926482966283,"['dr', 'ro', 'on', 'nk', 'ka', 'aa', 'ar', 'rd']","[486140.0, 1417238.0, 2451854.0, 476574.0, 424843.0, 2730922.0, 1754491.0, 823655.0]",3.4454074383061526
betaalde,3.0,"(5.7420971887829415, 4.04489238347436, 6.234172950952972)","(6.969028573317883, 5.271823768009301, 7.461104335487914)",4.04489238347436,6.234172950952972,5.340387507736757,5.271823768009301,"['be', 'et', 'ta', 'aa', 'al', 'ld', 'de']","[2443609.0, 1684914.0, 892070.0, 2730922.0, 2558689.0, 840998.0, 2559661.0]",4.240863546898266
lachte,2.0,"(3.596377143997599, 5.910038726309899)","(4.82330852853254, 7.13697011084484)",3.596377143997599,5.910038726309899,4.753207935153749,4.82330852853254,"['la', 'ac', 'ch', 'ht', 'te']","[2444604.0, 404620.0, 1999086.0, 373636.0, 3522714.0]",4.090302156455602
viel,1.0,"(3.6610550848533787,)","(4.88798646938832,)",3.6610550848533783,3.6610550848533783,3.6610550848533783,4.88798646938832,"['vi', 'ie', 'el']","[226005.0, 2076673.0, 4671207.0]",4.930227910460828
kruk,1.0,"(2.387389826338729,)","(3.614321210873671,)",2.387389826338729,2.387389826338729,2.387389826338729,3.614321210873671,"['kr', 'ru', 'uk']","[88851.0, 1082518.0, 56724.0]",3.4085807703501745
