,Word,Number of Syllables,Minimum Syllable Frequency,Zipf Word Frequency,Maximum Syllable Frequency,Mean Syllable Frequency,Minimum Bigram Frequency,Maximum Bigram Frequency,Mean Bigram Frequency,Number of Letters
0,toen,1.0,4.680453364401369,6.032333060467471,4.680453364401369,4.680453364401369,5.9231382825206955,6.931581937103762,6.587966304474463,4
1,de,1.0,6.234172950952972,7.381290564617263,6.234172950952972,6.234172950952972,6.408182621082838,6.408182621082838,6.408182621082838,2
2,barkeeper,3.0,3.177824971864682,3.622674055269768,4.710760288222427,3.9543656509414795,5.276521544278673,6.832468738608579,6.318381161869671,9
3,die,1.0,5.527754887527666,6.853870782727223,5.527754887527666,5.527754887527666,6.0212947577817895,6.317368325560973,6.194088024607324,3
4,irritante,4.0,3.0461047872460387,3.2849212525810474,5.910038726309899,4.4581980963401975,5.302532224931979,6.617355499099678,6.279932565945632,9
5,klant,1.0,3.208710019906401,4.544711816449061,3.208710019906401,3.208710019906401,5.7401312673314155,6.617355499099678,6.3331891402179,5
6,bediende,3.0,3.910250772300148,4.043922148869465,6.234172950952972,5.295506970678687,5.803799090305684,6.931581937103762,6.453441117925902,8
7,wegliep,2.0,3.5720579899263045,3.476076258072605,4.9745116927373285,4.273284841331817,5.276521544278673,6.527520733613047,6.182287988520131,7
8,gingen,2.0,4.482959291167214,5.0104485534510985,5.7314662752592405,5.107212783213227,5.825500765859418,6.931581937103762,6.558598447325108,6
9,deuren,2.0,3.2984163800612945,4.51023053430691,5.482819293405307,4.390617836733301,5.133401572961477,6.931581937103762,6.421346860334183,6
10,open,2.0,5.250193036344548,5.5247651909532,5.468992384083093,5.359592710213821,5.98959307561742,6.931581937103762,6.54741781396101,4
11,manke,2.0,5.0582589559872,3.1263543385088988,5.232299665207751,5.145279310597475,5.678131256544179,6.617355499099678,6.33848871586447,5
12,dronkaard,2.0,2.9929950984313414,3.4454074383061526,3.7803893284709527,3.386692213451147,5.628229489164837,6.436309455120861,6.120809315882092,9
13,betaalde,3.0,4.04489238347436,4.240863546898266,6.234172950952972,5.340387507736757,5.924795479395129,6.436309455120861,6.291966973069313,8
14,lachte,2.0,3.596377143997599,4.090302156455602,5.910038726309899,4.753207935153749,5.572449876391515,6.546877508655531,6.242773172378828,6
15,viel,1.0,3.6610550848533783,4.930227910460828,3.6610550848533787,3.6610550848533787,5.354119968936349,6.669429206024889,6.366353713646857,4
16,kruk,1.0,2.387389826338729,3.4085807703501745,2.387389826338729,2.387389826338729,4.753774504556974,6.034435527679205,5.612111062118616,4
17,om,1.0,5.561567641905225,6.641239617013409,5.561567641905225,5.561567641905225,6.39335317378869,6.39335317378869,6.39335317378869,2
18,rector,2.0,3.5450595846940027,3.763742292178604,4.1460970135358695,3.845578299114936,5.06702991804654,6.414569600559002,6.144310188404715,6
19,stoere,2.0,3.11293997608408,4.09665392571854,5.252083235452522,4.182511605768301,5.9231382825206955,6.832468738608579,6.440557507444844,6
20,puber,2.0,4.127428777851599,3.236315919147546,4.128883702099773,4.128156239975686,4.653251116013661,6.832468738608579,6.3951696867309735,5
21,strafte,2.0,3.636888906983799,2.978751617264655,5.910038726309899,4.773463816646849,5.254845238755702,6.546877508655531,6.217551583602035,7
22,was,1.0,5.381227025773177,6.720806821020991,5.381227025773177,5.381227025773177,5.612071453488598,5.703112463543158,5.659973215296316,3
23,erg,1.0,4.536798248304418,5.870885988691201,4.536798248304418,4.536798248304418,5.85118616420095,6.832468738608579,6.574566741058756,3
24,onredelijk,4.0,5.252083235452522,3.5623282028986045,6.234172950952972,5.520678931666035,4.163965982954884,6.669429206024889,6.288004651758161,10
25,inbreker,3.0,3.740993931584886,3.654355403276461,5.704650611569667,4.819159030421514,4.90112034477739,6.832468738608579,6.326586795412739,8
26,gekrenkte,3.0,1.3010299956639813,2.3555023268667545,6.125745990776331,4.445604904250071,4.948667207934095,6.931581937103762,6.372730265155694,9
27,pastoor,2.0,3.848497018090367,4.071505670501554,4.418002818524436,4.133249918307401,5.5048608048041485,6.591259550354114,6.296211832494125,7
28,smeekte,2.0,3.1711411510283822,3.8647048491978575,5.910038726309899,4.54058993866914,4.951619184484154,6.546877508655531,6.076617933551811,7
29,ten,1.0,5.77026494944033,4.563136694255716,5.77026494944033,5.77026494944033,6.546877508655531,6.931581937103762,6.78050290996021,3
30,einde,2.0,4.226625678595805,5.049229275790402,6.234172950952972,5.230399314774388,6.354996680882354,6.411026607025587,6.39290117309669,5
31,raad,1.0,3.9146604305892216,4.915528575779647,3.9146604305892216,3.9146604305892216,5.676238047294678,6.436309455120861,6.257315391257132,4
32,vorige,3.0,4.353800865138863,4.934370655532783,6.125745990776331,5.1167906582303395,5.9824566733781275,6.567278866173126,6.3487413530193,6
33,week,1.0,4.131137273778607,5.368508176882491,4.131137273778607,4.131137273778607,5.8820113917608055,6.293558550786624,6.087862899516639,4
34,kreeg,1.0,3.87453979707101,5.22660802785234,3.87453979707101,3.87453979707101,4.948667207934095,6.206279292269118,5.973948425789897,5
35,assistent,3.0,2.9822712330395684,4.311670757342117,4.651878631030323,3.8766388810399555,5.703112463543158,6.931581937103762,6.438456272424836,9
36,bruine,2.0,4.13305964275391,4.095865016360999,5.210168644978889,4.6716141438664,5.282939165754773,6.354996680882354,6.057056675480068,6
37,tanden,2.0,4.005823753029028,4.625715181762997,5.692720929176541,4.849272341102784,5.950399421283193,6.931581937103762,6.5731975258740825,6
38,behandelde,4.0,4.289990066054319,3.76204250730071,6.234172950952972,5.20222784556141,5.130008730279083,6.669429206024889,6.372700693068859,10
39,uitslag,2.0,4.069446083880313,4.075661630272712,5.343640943198292,4.706543513539302,5.371365298317344,6.388208695697325,5.9349110874070945,7
40,maandag,2.0,4.079325986752815,4.487762016397799,4.787658801910277,4.433492394331546,5.602345446116832,6.617355499099678,6.297602116060457,7
41,medicus,3.0,3.660580912427299,2.786866091025742,5.690652292689712,4.751578525338469,4.440814659957681,6.219939308295585,5.921980413292051,7
42,vreemde,2.0,3.621176281775035,4.789591965284645,6.234172950952972,4.927674616364004,4.018409207382068,6.408182621082838,6.007871976425385,7
43,pokken,2.0,2.3483048630481607,3.2188251869872104,5.606547956038138,3.9774264095431495,4.8135276157671045,6.931581937103762,6.394313420084916,6
