,bigrams_clusters:cluster_1,bigrams_clusters:cluster_2,bigrams_clusters:cluster_3,bigrams_clusters:cluster_4,bigrams_clusters:cluster_5,visual_clusters:cluster_1,visual_clusters:cluster_2,visual_clusters:cluster_3,visual_clusters:cluster_4,visual_clusters:cluster_5
bigrams_clusters:cluster_1,1.0,0.76310146,0.64869136,0.031158013,0.016654022,0.9592051,0.73707306,0.7050823,0.74463385,-0.19707666
bigrams_clusters:cluster_2,0.76310146,1.0,0.68270195,0.011254018,-0.027293425,0.76823604,0.9186169,0.70077604,0.6042996,-0.1514503
bigrams_clusters:cluster_3,0.64869136,0.68270195,1.0,0.16661353,0.04133465,0.635739,0.6279814,0.8295322,0.58112746,0.0016206048
bigrams_clusters:cluster_4,0.031158013,0.011254018,0.16661353,1.0,0.5897755,0.11214475,-0.006626244,0.1513112,0.2525282,0.7958368
bigrams_clusters:cluster_5,0.016654022,-0.027293425,0.04133465,0.5897755,1.0,0.05681923,-0.06496525,-0.02911517,0.18070668,0.46057457
visual_clusters:cluster_1,0.9592051,0.76823604,0.635739,0.11214475,0.05681923,1.0,0.73215514,0.7037081,0.7272754,-0.088863835
visual_clusters:cluster_2,0.73707306,0.9186169,0.6279814,-0.006626244,-0.06496525,0.73215514,1.0,0.6644824,0.57909477,-0.18960132
visual_clusters:cluster_3,0.7050823,0.70077604,0.8295322,0.1513112,-0.02911517,0.7037081,0.6644824,1.0,0.65252227,-0.019212842
visual_clusters:cluster_4,0.74463385,0.6042996,0.58112746,0.2525282,0.18070668,0.7272754,0.57909477,0.65252227,1.0,0.009807206
visual_clusters:cluster_5,-0.19707666,-0.1514503,0.0016206048,0.7958368,0.46057457,-0.088863835,-0.18960132,-0.019212842,0.009807206,1.0
