,bigrams_clusters:cluster_1,bigrams_clusters:cluster_2,bigrams_clusters:cluster_3,bigrams_clusters:cluster_4,bigrams_clusters:cluster_5,visual_clusters:cluster_1,visual_clusters:cluster_2,visual_clusters:cluster_3,visual_clusters:cluster_4,visual_clusters:cluster_5
bigrams_clusters:cluster_1,0.9999999,0.6163155,0.5859981,0.321404,0.25169843,0.95909023,0.5977886,0.64823794,0.51848036,0.21640211
bigrams_clusters:cluster_2,0.6163155,0.9999999,0.5619265,0.28261003,0.21485564,0.63607496,0.91772753,0.5556521,0.4765647,0.17985904
bigrams_clusters:cluster_3,0.5859981,0.5619265,0.9999999,0.20891556,0.18065253,0.6007792,0.4999384,0.755948,0.365009,0.13509806
bigrams_clusters:cluster_4,0.321404,0.28261003,0.20891556,0.9999999,0.64807695,0.34771445,0.2785648,0.2868405,0.46808815,0.6823508
bigrams_clusters:cluster_5,0.25169843,0.21485564,0.18065253,0.64807695,0.9999999,0.26656517,0.20716989,0.22558026,0.33572417,0.4566954
visual_clusters:cluster_1,0.95909023,0.63607496,0.6007792,0.34771445,0.26656517,0.9999999,0.61627495,0.6880771,0.56715316,0.23382168
visual_clusters:cluster_2,0.5977886,0.91772753,0.4999384,0.2785648,0.20716989,0.61627495,0.9999999,0.51976675,0.470017,0.18381914
visual_clusters:cluster_3,0.64823794,0.5556521,0.755948,0.2868405,0.22558026,0.6880771,0.51976675,0.9999999,0.55761135,0.18353723
visual_clusters:cluster_4,0.51848036,0.4765647,0.365009,0.46808815,0.33572417,0.56715316,0.470017,0.55761135,0.9999999,0.34124058
visual_clusters:cluster_5,0.21640211,0.17985904,0.13509806,0.6823508,0.4566954,0.23382168,0.18381914,0.18353723,0.34124058,0.9999999
