Word,IPA,FREQcount,Zipf,CELEX
ik,ɪk,1744062,7.597064495570062,Ik
je,jə,1600888,7.559863547381498,j@
het,hət,1068396,7.384234986742789,@t
de,də,1061177,7.381290564617263,d@
dat,dɑt,965424,7.340220867694434,dAt
niet,nit,801297,7.259296385631691,nit
een,eːn,785913,7.25087735208062,en
een,eːn,785913,7.25087735208062,@n
en,ɛn,611665,7.142016667389458,En
van,vɑn,455234,7.013737971559847,vAn
we,ʋə,443891,7.002779644932979,w@
ze,zə,407143,6.965250365931527,z@
in,ɪn,385809,6.941875807013747,In
maar,maːr,366703,6.919817974128838,mar
er,ər,357291,6.908525619042463,Er
op,ɔp,352844,6.903086294498336,Op
zijn,zɛ - ɪn,348446,6.897639056623649,zKn
te,tə,343019,6.890821769464671,t@
me,mə,323465,6.865330964921252,m@
die,di,315041,6.853870782727223,di
heb,hɛp,314634,6.853309358763031,hEp
met,mɛt,297891,6.829561167099229,mEt
voor,vɔːr,293420,6.822993519733761,vor
als,ɑls,277391,6.798596258708725,Als
ben,bɛn,238367,6.732750279460888,bEn
was,ʋɑs,231901,6.720806821020991,wAs
dit,dɪt,206516,6.670458134444202,dIt
hier,hir,197509,6.651091415866574,hir
jij,jɛ - ɪ,195527,6.646711284889003,jK
naar,naːr,194489,6.644399603189321,nar
om,ɔm,193079,6.641239617013409,Om
mijn,mɛ - ɪn,192935,6.64091559724068,mKn
weet,ʋeːt,188542,6.630912739939306,wet
dan,dɑn,187947,6.629540035508843,dAn
wel,ʋɛl,179460,6.609472410282117,wEl
kan,kɑn,176048,6.601135889384487,kAn
wil,ʋɪl,173851,6.595682018054957,wIl
geen,ɣeːn,173034,6.59363628415434,xen
zo,zoː,167980,6.580762489177145,zo
aan,aːn,167857,6.580444371128541,an
hem,hɛm,161713,6.564249946399334,hEm
heeft,heːft,159926,6.559424117449305,heft
goed,ɣut,152533,6.53886898606813,xut
hebben,hɛ - bən,150152,6.532036340527496,hE - b@
ja,jaː,149900,6.531306856933401,ja
hoe,hu,140651,6.503648238858826,hu
waar,ʋaːr,139876,6.501248636110072,war
nu,ny,135100,6.486160890491854,ny
nee,neː,134898,6.485511057145837,ne
haar,haːr,130133,6.469893106005319,har
uit,œyt,121452,6.439910573610657,Lt
ook,oːk,120785,6.437518926093102,ok
over,oː - vər,118166,6.427998536754666,o - v@r
doen,dun,117101,6.424066639373331,dun
gaan,ɣaːn,115901,6.419593257062185,xan
kom,kɔm,114245,6.413343330284017,kOm
daar,daːr,109632,6.39544362518237,dar
al,ɑl,102513,6.366285506478592,Al
of,ɔf,102246,6.365152901222816,Of
jullie,jɵ - li,101702,6.362836090647214,j} - li
ons,ɔns,100663,6.358376510462276,Ons
iets,its,98181,6.347534201443775,its
waarom,ʋaː - rɔm,93656,6.327042569312257,war - Om
meer,mɪːr,89028,6.305033822146514,mer
laat,laːt,88890,6.304360118790836,lat
wie,ʋi,80001,6.258603171085031,wi
moeten,mu - tən,77670,6.245761223519759,mu - t@
deze,deː - zə,75080,6.231032375200583,de - z@
alles,ɑ - ləs,74708,6.228875250166694,A - l@s
kunnen,kɵ - nən,74550,6.227955800163067,k} - n@
jou,jʌʊ,74538,6.22788588891759,jM
toch,tɔx,74057,6.225074306242449,tOx
echt,ɛxt,69748,6.19904031232357,Ext
zien,zin,67291,6.183465763120877,zin
weg,ʋɛx,64792,6.167030415675836,wEx
nou,nʌʊ,64504,6.165095706436103,nM
alleen,ɑ - leːn,64249,6.163375458870087,A - len
nooit,noːjt,63864,6.160765243378431,nojt
door,doːr,63657,6.159355316750101,dor
mee,meː,61897,6.14717894352829,me
dus,dɵs,61547,6.144716271980133,d}s
man,mɑn,61388,6.143592885837228,mAn
even,eː - vən,61069,6.14133024686262,e - v@
eens,eːns,60876,6.139955569256932,ens
terug,tə - rɵx,58438,6.122205102606124,t@ - r}x
misschien,mɪ - sxin,57369,6.114187176749196,mI - sxin
laten,laː - tən,56849,6.110232795890508,la - t@
niets,nits,56381,6.106642804105747,nits
iemand,i - mɑnt,53814,6.086405671478379,i - mAnt
hou,hʌʊ,53658,6.085144901678101,hM
veel,veːl,50542,6.059163342938549,vel
komen,koː - mən,50021,6.054663378747433,ko - m@
weer,ʋɪːr,49718,6.052024711943977,wer
zeg,zɛx,48667,6.042745826247495,zEx
uw,yʊ,48241,6.038927631201145,yw
toen,tun,47514,6.032333060467471,tun
zeggen,zɛ - ɣən,47486,6.032077060681248,zE - G@
worden,ʋɔr - dən,46795,6.02571105916801,wOr - d@
zit,zɪt,46348,6.021542695354457,zIt
kijk,kɛ - ɪk,45906,6.017381239628067,kKk
leven,leː - vən,45709,6.015513548156085,le - v@
heel,heːl,45425,6.012806823434644,hel
nodig,noː - dəx,45392,6.012491212856824,no - d@x
tegen,teː - ɣən,45118,6.009861792414411,te - G@
