Word,Syllables,Syllable Occurrence Counts,Bigrams,Bigram Occurrence Counts,Zipf
toen,"[""'tun""]",[47826.0],"['to', 'oe', 'en']","[2236591.0, 837795.0, 8542439.0]",6.0323330604674705
de,"[""'d@""]",[1061177.0],['de'],[2559661.0],7.381290564617263
barkeeper,"[""'bAr"", 'ki', 'p@r']","[3329.0, 3669.0, 20167.0]","['ba', 'ar', 'rk', 'ke', 'ee', 'ep', 'pe', 'er']","[584273.0, 1754491.0, 2174749.0, 3143026.0, 944702.0, 189025.0, 1062538.0, 6799370.0]",3.6226740552697683
die,"[""'di""]",[325903.0],"['di', 'ie']","[1050254.0, 2076673.0]",6.853870782727223
irritante,,[],"['ir', 'rr', 'ri', 'it', 'ta', 'an', 'nt', 'te']","[2884214.0, 200692.0, 1787712.0, 333345.0, 892070.0, 4143386.0, 1477178.0, 3522714.0]",3.2849212525810474
klant,"[""'klAnt""]",[1545.0],"['kl', 'la', 'an', 'nt']","[549706.0, 2444604.0, 4143386.0, 1477178.0]",4.544711816449061
bediende,"['b@', ""'din"", 'd@']","[395542.0, 3358.0, 515645.0]","['be', 'ed', 'di', 'ie', 'en', 'nd', 'de']","[2443609.0, 636500.0, 1050254.0, 2076673.0, 8542439.0, 2576478.0, 2559661.0]",4.043922148869465
wegliep,,[],"['we', 'eg', 'gl', 'li', 'ie', 'ep']","[1965886.0, 1125580.0, 403015.0, 3369152.0, 2076673.0, 189025.0]",3.4760762580726046
gingen,,[],"['gi', 'in', 'ng', 'ge', 'en']","[669114.0, 2264626.0, 2927082.0, 3692145.0, 8542439.0]",5.0104485534510985
deuren,,[],"['de', 'eu', 'ur', 're', 'en']","[2559661.0, 135956.0, 346154.0, 1607974.0, 8542439.0]",4.51023053430691
open,"[""'o"", 'p@']","[193944.0, 157985.0]","['op', 'pe', 'en']","[976321.0, 1062538.0, 8542439.0]",5.5247651909532
manke,,[],"['ma', 'an', 'nk', 'ke']","[957657.0, 4143386.0, 476574.0, 3143026.0]",3.1263543385088988
dronkaard,"[""'drONk"", 'art']","[753.0, 1108.0]","['dr', 'ro', 'on', 'nk', 'ka', 'aa', 'ar', 'rd']","[486140.0, 1417238.0, 2451854.0, 476574.0, 424843.0, 2730922.0, 1754491.0, 823655.0]",3.4454074383061526
betaalde,,[],"['be', 'et', 'ta', 'aa', 'al', 'ld', 'de']","[2443609.0, 1684914.0, 892070.0, 2730922.0, 2558689.0, 840998.0, 2559661.0]",4.240863546898266
lachte,,[],"['la', 'ac', 'ch', 'ht', 'te']","[2444604.0, 404620.0, 1999086.0, 373636.0, 3522714.0]",4.090302156455602
viel,,[],"['vi', 'ie', 'el']","[226005.0, 2076673.0, 4671207.0]",4.930227910460828
kruk,"[""'kr}k""]",[120.0],"['kr', 'ru', 'uk']","[88851.0, 1082518.0, 56724.0]",3.4085807703501745
om,"[""'Om""]",[295501.0],['om'],[2473734.0],6.641239617013409
rector,"[""'rEk"", 'tOr']","[1185.0, 9156.0]","['re', 'ec', 'ct', 'to', 'or']","[1607974.0, 411920.0, 116688.0, 2236591.0, 2597583.0]",3.763742292178604
stoere,,[],"['st', 'to', 'oe', 'er', 're']","[2307098.0, 2236591.0, 837795.0, 6799370.0, 1607974.0]",4.09665392571854
puber,"[""'py"", 'b@r']","[107.0, 4538.0]","['pu', 'ub', 'be', 'er']","[45003.0, 648428.0, 2443609.0, 6799370.0]",3.236315919147546
strafte,,[],"['st', 'tr', 'ra', 'af', 'ft', 'te']","[2307098.0, 1199332.0, 2220035.0, 472535.0, 179822.0, 3522714.0]",2.978751617264655
was,"[""'wAs""]",[232330.0],"['wa', 'as']","[409327.0, 504791.0]",6.720806821020991
erg,"[""'Erx""]",[32762.0],"['er', 'rg']","[6799370.0, 709881.0]",5.870885988691201
onredelijk,"['On', ""'re"", 'd@', 'l@k']","[38940.0, 21892.0, 515645.0, 181254.0]","['on', 'nr', 're', 'ed', 'de', 'el', 'li', 'ij', 'jk']","[2451854.0, 14586.0, 1607974.0, 636500.0, 2559661.0, 4671207.0, 3369152.0, 1639122.0, 518095.0]",3.5623282028986045
inbreker,"[""'Im"", 'bre', 'k@r']","[2854.0, 1455.0, 83721.0]","['in', 'nb', 'br', 're', 'ek', 'ke', 'er']","[2264626.0, 79637.0, 191839.0, 1607974.0, 762098.0, 3143026.0, 6799370.0]",3.6543554032764614
gekrenkte,,[],"['ge', 'ek', 'kr', 're', 'en', 'nk', 'kt', 'te']","[3692145.0, 762098.0, 88851.0, 1607974.0, 8542439.0, 476574.0, 179298.0, 3522714.0]",2.3555023268667545
pastoor,"['pAs', ""'tor""]","[1382.0, 6167.0]","['pa', 'as', 'st', 'to', 'oo', 'or']","[319786.0, 504791.0, 2307098.0, 2236591.0, 3901750.0, 2597583.0]",4.071505670501554
smeekte,,[],"['sm', 'me', 'ee', 'ek', 'kt', 'te']","[89457.0, 1659354.0, 944702.0, 762098.0, 179298.0, 3522714.0]",3.8647048491978575
ten,"[""'tEn""]",[3111.0],"['te', 'en']","[3522714.0, 8542439.0]",4.563136694255716
einde,,[],"['ei', 'in', 'nd', 'de']","[2483878.0, 2264626.0, 2576478.0, 2559661.0]",5.049229275790402
raad,"[""'rat""]",[7311.0],"['ra', 'aa', 'ad']","[2220035.0, 2730922.0, 474501.0]",4.915528575779647
vorige,,[],"['vo', 'or', 'ri', 'ig', 'ge']","[2123358.0, 2597583.0, 1787712.0, 960409.0, 3692145.0]",4.934370655532783
