Word,IPA,FREQcount,Zipf,CELEX,Equal # of Syllables
zijn,zɛ - ɪn,348446,6.897639056623649,zKn,False
jij,jɛ - ɪ,195527,6.646711284889003,jK,False
mijn,mɛ - ɪn,192935,6.64091559724068,mKn,False
kijk,kɛ - ɪk,45906,6.017381239628067,kKk,False
altijd,ɑl - tɛ - ɪt,42787,5.986824313998892,Al - tKt,False
tijd,tɛ - ɪt,39289,5.949784355678561,tKt,False
zij,zɛ - ɪ,33038,5.874529220810066,zK,False
spijt,spɛ - ɪt,29114,5.819619121310799,spKt,False
blijf,blɛ - ɪf,24627,5.746931471786199,blKf,False
blijven,blɛ - ɪ - vən,22633,5.710263638418343,blK - v@,False
krijgen,krɛ - ɪ - ɣən,21729,5.692562053187279,krK - G@,False
kijken,kɛ - ɪ - kən,21656,5.691100623399757,kK - k@,False
meisje,mɛ - ɪs - jə,16737,5.579205890389289,mKs - j@,False
krijg,krɛ - ɪx,16367,5.56949794323484,krKx,False
eigen,ɛ - ɪ - ɣən,15566,5.547707252281344,K - G@,False
bijna,bɛ - ɪ - naː,14607,5.520093087056978,bK - na,False
gelijk,ɣə - lɛ - ɪk,14427,5.514708460513081,x@ - lKk,False
eigenlijk,ɛ - ɪ - ɣən - lək,13639,5.490316697187215,K - G@ - l@k,False
vijf,vɛ - ɪf,12313,5.445901476122217,vKf,False
kleine,klɛ - ɪ - nə,11749,5.425540193474509,klK - n@,False
pijn,pɛ - ɪn,11639,5.421455307180624,pKn,False
vrij,vrɛ - ɪ,10185,5.363505998706914,vrK,False
voorbij,vɔːr - bɛ - ɪ,9006,5.310082489610512,vor - bK,False
fijn,fɛ - ɪn,8661,5.293120506260578,fKn,False
klein,klɛ - ɪn,8556,5.287823858856048,klKn,False
hoi,hoː - i,7790,5.24709553121572,hOj,False
veilig,vɛ - ɪ - ləx,7649,5.239163762020372,vK - l@x,False
terwijl,tɛr - ʋɛ - ɪl,7555,5.233794276116551,tEr - wKl,False
belangrijk,bə - lɑŋ - rɛ - ɪk,7434,5.226783299724728,b@ - lAN - rKk,False
waarschijnlijk,ʋaːr - sxɛ - ɪn - lək,7360,5.222439144598393,war - sxKn - l@k,False
