onset	duration	volume	type	value
0	n/a	1	Pulse	50
2	n/a	2	Pulse	50
4	n/a	3	Pulse	50
4.308	n/a	3.154	Picture	WOORDEN
6	n/a	4	Pulse	50
6.026	n/a	4.013	Picture	blank
8	n/a	5	Pulse	50
8.042	n/a	5.021	Picture	FIX 3761
9.816	n/a	5.908	Sound	14 Start File 874.wav
9.87	n/a	5.935	Nothing	7 Audio onset
10	n/a	6	Pulse	50
11.222	n/a	6.611	Nothing	8 Target
12	n/a	7	Pulse	50
14	n/a	8	Pulse	50
16	n/a	9	Pulse	50
17.904	n/a	9.952	Nothing	15 End of file
17.924	n/a	9.962	Picture	blank
18	n/a	10	Pulse	50
19.942	n/a	10.971	Picture	FIX 3517
20	n/a	11	Pulse	50
21.482	n/a	11.741	Sound	14 Start File 568.wav
21.516	n/a	11.758	Nothing	3 Audio onset
22	n/a	12	Pulse	50
24	n/a	13	Pulse	50
26	n/a	14	Pulse	50
26.004	n/a	14.002	Nothing	4 Target
28	n/a	15	Pulse	50
30	n/a	16	Pulse	50
30.414	n/a	16.207	Nothing	15 End of file
30.442	n/a	16.221	Picture	blank
32	n/a	17	Pulse	50
32.458	n/a	17.229	Picture	FIX 3471
33.938	n/a	17.969	Sound	14 Start File 865.wav
33.994	n/a	17.997	Nothing	7 Audio onset
34	n/a	18	Pulse	50
35.654	n/a	18.827	Nothing	8 Target
36	n/a	19	Pulse	50
38	n/a	20	Pulse	50
40	n/a	21	Pulse	50
41.976	n/a	21.988	Nothing	15 End of file
42	n/a	22	Pulse	50
42.008	n/a	22.004	Picture	blank
44	n/a	23	Pulse	50
44.024	n/a	23.012	Picture	FIX 3365
45.392	n/a	23.696	Sound	14 Start File 888.wav
45.5	n/a	23.75	Nothing	7 Audio onset
46	n/a	24	Pulse	50
48	n/a	25	Pulse	50
50	n/a	26	Pulse	50
51.542	n/a	26.771	Nothing	8 Target
52	n/a	27	Pulse	50
53.654	n/a	27.827	Nothing	15 End of file
53.674	n/a	27.837	Picture	blank
54	n/a	28	Pulse	50
55.69	n/a	28.845	Picture	FIX 3676
56	n/a	29	Pulse	50
57.374	n/a	29.687	Sound	14 Start File 729.wav
57.45	n/a	29.725	Nothing	7 Audio onset
58	n/a	30	Pulse	50
60	n/a	31	Pulse	50
60.928	n/a	31.464	Nothing	8 Target
62	n/a	32	Pulse	50
63.63	n/a	32.815	Nothing	15 End of file
64	n/a	33	Pulse	50
64.622	n/a	33.311	Picture	QUESTION 729
65.71	n/a	33.855	Response	2
66	n/a	34	Pulse	50
66.022	n/a	34.011	Picture	ZINNEN
67.74	n/a	34.87	Picture	blank
68	n/a	35	Pulse	50
69.756	n/a	35.878	Picture	FIX 3431
70	n/a	36	Pulse	50
71.186	n/a	36.593	Sound	14 Start File 119.wav
71.25	n/a	36.625	Nothing	1 Audio onset
72	n/a	37	Pulse	50
72.272	n/a	37.136	Nothing	2 Target
74	n/a	38	Pulse	50
75.39	n/a	38.695	Nothing	15 End of file
75.406	n/a	38.703	Picture	blank
76	n/a	39	Pulse	50
77.422	n/a	39.711	Picture	FIX 3534
78	n/a	40	Pulse	50
78.964	n/a	40.482	Sound	14 Start File 310.wav
79.028	n/a	40.514	Nothing	5 Audio onset
80	n/a	41	Pulse	50
80.086	n/a	41.043	Nothing	6 Target
82	n/a	42	Pulse	50
82.568	n/a	42.284	Nothing	15 End of file
82.588	n/a	42.294	Picture	blank
84	n/a	43	Pulse	50
84.606	n/a	43.303	Picture	FIX 3612
86	n/a	44	Pulse	50
86.22	n/a	44.11	Sound	14 Start File 048.wav
86.28	n/a	44.14	Nothing	1 Audio onset
87.794	n/a	44.897	Nothing	2 Target
88	n/a	45	Pulse	50
90	n/a	46	Pulse	50
90.342	n/a	46.171	Nothing	15 End of file
90.354	n/a	46.177	Picture	blank
92	n/a	47	Pulse	50
92.372	n/a	47.186	Picture	FIX 3511
93.886	n/a	47.943	Sound	14 Start File 203.wav
93.942	n/a	47.971	Nothing	1 Audio onset
94	n/a	48	Pulse	50
96	n/a	49	Pulse	50
97.082	n/a	49.541	Nothing	2 Target
98	n/a	50	Pulse	50
98.628	n/a	50.314	Nothing	15 End of file
98.654	n/a	50.327	Picture	blank
100	n/a	51	Pulse	50
100.67	n/a	51.335	Picture	FIX 3790
102	n/a	52	Pulse	50
102.45	n/a	52.225	Sound	14 Start File 204.wav
102.52	n/a	52.26	Nothing	1 Audio onset
103.858	n/a	52.929	Nothing	2 Target
104	n/a	53	Pulse	50
106	n/a	54	Pulse	50
106.496	n/a	54.248	Nothing	15 End of file
106.802	n/a	54.401	Picture	WOORDEN
108	n/a	55	Pulse	50
108.52	n/a	55.26	Picture	blank
110	n/a	56	Pulse	50
110.538	n/a	56.269	Picture	FIX 3831
112	n/a	57	Pulse	50
112.376	n/a	57.188	Sound	14 Start File 717.wav
112.444	n/a	57.222	Nothing	7 Audio onset
114	n/a	58	Pulse	50
116	n/a	59	Pulse	50
117.334	n/a	59.667	Nothing	8 Target
118	n/a	60	Pulse	50
119.646	n/a	60.823	Nothing	15 End of file
119.67	n/a	60.835	Picture	blank
120	n/a	61	Pulse	50
121.686	n/a	61.843	Picture	FIX 3558
122	n/a	62	Pulse	50
123.254	n/a	62.627	Sound	14 Start File 886.wav
123.324	n/a	62.662	Nothing	7 Audio onset
124	n/a	63	Pulse	50
126	n/a	64	Pulse	50
127.552	n/a	64.776	Nothing	8 Target
128	n/a	65	Pulse	50
129.528	n/a	65.764	Nothing	15 End of file
129.552	n/a	65.776	Picture	blank
130	n/a	66	Pulse	50
131.57	n/a	66.785	Picture	FIX 3818
132	n/a	67	Pulse	50
133.4	n/a	67.7	Sound	14 Start File 504.wav
133.466	n/a	67.733	Nothing	3 Audio onset
134	n/a	68	Pulse	50
136	n/a	69	Pulse	50
136.2	n/a	69.1	Nothing	4 Target
138	n/a	70	Pulse	50
140	n/a	71	Pulse	50
140.724	n/a	71.362	Nothing	15 End of file
140.736	n/a	71.368	Picture	blank
