,Count
Gla,15.0
hA,27140.0
sty,5224.0
'styrs,49.0
'kAz,24.0
'ne,175704.0
'dwEl,22.0
'raz,0.0
'kIp,1679.0
nINk,1071.0
GAst,115.0
'pr|ts,98.0
'axt,0.0
'snEk,102.0
'sxrab,0.0
'nEn,133.0
nan,0.0
'l}ns,2.0
kOrs,0.0
'bIt,216.0
'l}gz,194.0
snIp,0.0
rKp,10.0
'blE,1.0
'tEx,753.0
'tSjEnd,0.0
klA,736.0
sp|,2.0
prOmp,0.0
kal,81.0
trAj,13.0
vel,10877.0
'bys,30.0
nErf,0.0
hOp,0.0
'blA,221.0
'xAs,1587.0
fIm,0.0
El,25338.0
'bAlts,1.0
hAnd,0.0
sINk,0.0
'krot,1.0
trAps,1.0
'sxOf,342.0
sak,1064.0
'bros,43.0
'kl|mt,17.0
bl@s,0.0
xrA,95.0
'hEpt,5.0
'flurs,18.0
flKt,1.0
'nE,416.0
'snAk,49.0
smK,84.0
vlukt,0.0
'rup,3295.0
sxElm,0.0
'kwElt,82.0
fAlz,6.0
'lAmb,0.0
dOf,0.0
krOs,15.0
GrIs,0.0
plM,43.0
pI,564.0
's}mp,33.0
ort,217.0
'klIts,0.0
vIgz,0.0
'xu,5635.0
'xle,2.0
strEkt,42.0
'Grujd,0.0
sl|f,0.0
'fl|rs,0.0
'lINks,3290.0
lOkt,0.0
twKx,0.0
'dAxs,0.0
dArm,42.0
swKn,0.0
drLf,0.0
GKt,4.0
'p}mp,3.0
'd}l,568.0
'gwIs,0.0
'drEz,35.0
'krON,60.0
'pl)r,0.0
sxKdz,58.0
'strOf,5.0
'pruft,15.0
'd}xt,20.0
'bul,2459.0
's|rs,0.0
'blEk,0.0
'bErs,0.0
'kOG,40.0
'flEdz,0.0
'top,25.0
NEnt,45.0
'GIm,40.0
'kKf,2.0
'knErp,0.0
muts,1.0
trIN,0.0
r@N,6.0
'kn},1194.0
'frOk,0.0
'bIx,828.0
'dinzd,67.0
'xAr,208.0
'zAkt,264.0
'sprINk,92.0
'haj,415.0
sxErm,48.0
'd}n,398.0
h}xt,0.0
'swI,86.0
'vOl,31884.0
'fAjn,0.0
'flAn,12.0
'wAnd,3.0
'snew,1476.0
stEk,36.0
noj,3.0
'knust,1.0
'vlit,1.0
wInts,5.0
skri,0.0
'bElt,2495.0
'hAp,802.0
stMt,21.0
'sAts,0.0
dr},1529.0
hun,14.0
sel,1.0
'G)r,102.0
ar,3.0
der,7.0
's|r,641.0
'bler,0.0
G|s,0.0
trEx,0.0
xIst,0.0
Av,284.0
'bINk,144.0
'fIn,6.0
mI,61729.0
bal,5.0
frMw,2698.0
'trIkts,18.0
'krost,55.0
'plIGd,1.0
trOn,65.0
'wIGdz,0.0
gAs,0.0
'puS,19.0
'r}G,2507.0
'rot,2230.0
'tEN,291.0
'frEt,31.0
'dOrs,24.0
'bils,7.0
'kn}t,20.0
'brukt,0.0
'mOr,25526.0
'um,15.0
'spOn,201.0
prK,45.0
Gruj,26.0
stafs,0.0
'plKd,2.0
'slIN,9.0
sAjt,0.0
wOlk,56.0
mord,3.0
'prOpt,41.0
'sIs,418.0
'zwe,1043.0
'spo,2255.0
'sx}lt,8157.0
bK,5191.0
'swAs,5.0
fEst,76.0
'trups,0.0
b@s,816.0
'sxAt,11748.0
'sxElpt,0.0
'hErt,268.0
lINz,124.0
'kKns,14.0
'roj,2.0
'blam,57.0
vraxt,6.0
zwi,0.0
'sxru,102.0
swEr,44.0
sir,163.0
'spItst,11.0
'sku,214.0
'nAxts,2.0
'tMw,1264.0
'rAr,0.0
zol,13.0
'lyrs,1.0
'strOb,196.0
klAp,41.0
'tef,1065.0
SAN,0.0
'lAzd,3.0
zum,0.0
pri,935.0
stom,0.0
'xEl,550.0
'krOt,149.0
mal,38214.0
'hMs,3.0
Zis,1.0
duS,1.0
ly,907.0
NINs,6.0
'rLg,0.0
xlas,0.0
'tKdz,173.0
'k}lt,8.0
'pr)m,0.0
z@s,2654.0
'kov,0.0
'k}nst,2408.0
'sint,4.0
'tr|r,17.0
'pMw,42.0
vrMw,297.0
'knAk,11.0
pun,0.0
klem,12.0
bur,1711.0
j},117.0
Erf,2.0
mMw,2.0
klOk,262.0
'xI,708.0
mals,1429.0
rKs,1078.0
'vExt,2328.0
'lift,5088.0
b}N,1.0
'drKvz,11.0
pram,0.0
'@r,0.0
'mArS,38.0
zax,82.0
'mal,67069.0
'stM,30.0
a,26702.0
p|,18.0
'fIrn,0.0
'strAm,6.0
'xan,117322.0
'vEr,24531.0
rEkt,99.0
'kOrst,71.0
klAs,80.0
'mEns,7278.0
kAm,2634.0
hus,35.0
'strojt,66.0
kotS,2.0
zOx,18.0
ful,0.0
tLG,15.0
'dKks,0.0
'xel,451.0
tret,0.0
'brod,158.0
'som,14.0
vlEx,4.0
'klIm,511.0
skOn,0.0
GrIl,2.0
'blu,3665.0
'stKf,446.0
'snOk,0.0
'sxra,82.0
'flEks,59.0
n@r,6261.0
'sxKf,257.0
yr,453.0
sxIk,2.0
hOk,117.0
'lKg,102.0
'frIt,0.0
prMw,0.0
'Zirs,76.0
'z}nt,0.0
'red,72.0
Erft,0.0
spIn,89.0
wek,35.0
pl@,5981.0
'k}ns,1.0
mE,1508.0
mEn,3511.0
'flem,3.0
'bot,7974.0
rars,1.0
rAN,218.0
'G}n,110.0
'sno,103.0
'wast,0.0
'sxO,1070.0
'krIm,90.0
zom,0.0
'trEm,2.0
p}lt,64.0
'kr|k,8.0
'mIk,286.0
'nas,68.0
'plu,156.0
b}rG,0.0
'fEN,42.0
x|r,0.0
'kIg,0.0
blMw,70.0
'dOrz,0.0
'tAlm,4.0
ja,24436.0
'Spil,0.0
'tEr,3959.0
'knAl,689.0
'wOlfs,10.0
wM,0.0
'vOks,8.0
pAnt,133.0
'pErk,4.0
h}l,14.0
'pOz,36.0
vr@,148.0
stroj,0.0
knu,5.0
'laj,0.0
'bixt,326.0
'lEb,0.0
'lEt,3133.0
'fr}t,4.0
'kEts,2.0
'_a,0.0
'nAns,9.0
mew,25.0
'spro,14.0
'sxef,133.0
'wEp,197.0
'Os,676.0
'plEk,7821.0
'lEg,0.0
'r|t,2.0
'lMw,36.0
zO,6.0
'dErn,292.0
'kOrs,16.0
dM,16.0
'lIg,10.0
'blINk,22.0
'kats,5.0
'strL,114.0
'GrE,283.0
'st}d,1.0
'stAd,0.0
'tAk,2948.0
l@r,5049.0
Grup,109.0
'krI,177.0
'n|s,3330.0
'kr}k,120.0
'sxi,8406.0
xli,20.0
'l}r,14.0
sxKfz,0.0
'stod,3.0
'Ist,0.0
'jK,195609.0
skEp,8.0
'd|xt,374.0
'snKt,0.0
skop,15.0
'pin,110.0
'fir,159.0
swep,0.0
'lAnt,12236.0
'Git,38.0
slO,17.0
'snur,88.0
nEns,0.0
vKx,4.0
'klik,3.0
'dIxt,8828.0
sat,6.0
'lon,966.0
kul,47.0
xo,2650.0
k}st,309.0
brom,0.0
'virt,149.0
'vles,2892.0
smKt,0.0
sut,14.0
f|r,300.0
'wEl,218106.0
n@n,175.0
'mArgd,0.0
'Erf,545.0
SOrt,0.0
'prM,0.0
'prun,0.0
'mINk,105.0
'kl}xt,43.0
kels,11.0
'Ast,170.0
slAN,189.0
vOrst,4.0
'kurs,1175.0
pEls,0.0
tOlk,0.0
'z}lks,6.0
slOf,0.0
'knOp,720.0
'l}t,6.0
g}rl,3.0
'slANk,138.0
'spis,38.0
'wOlg,7.0
tsi,58762.0
'les,39.0
'lin,0.0
'trMw,5034.0
'vErft,0.0
'pIt,349.0
'al,88.0
'waG,0.0
'lKd,0.0
'lKfs,0.0
'drAm,4.0
wrAt,0.0
'fun,3.0
'knut,2.0
'dumz,3.0
'lErt,267.0
SKk,4.0
'splInt,0.0
skrIpt,13.0
'tElt,0.0
fOntst,0.0
stor,42.0
'lez,85.0
gra,2.0
Gu,193.0
bAlk,79.0
lEnt,158.0
vOn,1155.0
'st}k,9994.0
'fax,50.0
'sAnd,0.0
sprInt,3.0
'spIk,8.0
mA,13358.0
snar,0.0
bAxt,10.0
'Ok,121.0
Z@r,3.0
ksAn,1.0
'tris,49.0
lam,0.0
GEr,0.0
'fIks,17.0
'pr}ts,23.0
'tert,921.0
slan,1378.0
p}nd,0.0
'skup,24.0
'knExt,146.0
'xEr,7.0
'sErf,0.0
tEm,743.0
'zint,167.0
'sxuN,1.0
'klEr,0.0
'frO,5.0
'spAnt,71.0
plIxt,139.0
xat,1.0
'mim,10.0
pik,0.0
mIr,0.0
'd}N,37.0
'vrE,10.0
drINk,0.0
Gru,146.0
'zwIN,0.0
hMwt,6.0
'vIk,0.0
'dis,5.0
krIN,85.0
'arts,477.0
p}r,4.0
'fEls,1.0
'drENk,0.0
ry,105.0
'tuns,0.0
'lKv,5.0
'bos,4810.0
mas,0.0
smAl,0.0
b}r,2051.0
wA,20722.0
f@m,7.0
'ur,222.0
'fremt,0.0
'zAGd,0.0
'Smi,1.0
'zem,5.0
krAxts,1.0
sxKf,87.0
'vlod,0.0
v@rs,79.0
klEp,93.0
'fANst,311.0
'xEm,73.0
p@rst,0.0
'dOmt,1336.0
xAt,55.0
'bOrz,0.0
'slafs,7.0
flIk,0.0
blOk,134.0
'nidz,19.0
vlEkt,0.0
dErm,0.0
'sprEk,2722.0
drOps,0.0
sif,1.0
'trKn,3243.0
'zAn,24.0
'hLd,22.0
mAks,66.0
'ps|,2.0
'klon,18.0
'hArk,66.0
rAk,33.0
'Als,277569.0
lax,577.0
'rKns,8.0
'kEf,2.0
'dKs,662.0
'trKp,0.0
'reN,0.0
'bEr,3082.0
'zwel,0.0
kops,3.0
strE,30.0
zIxts,1.0
ral,12.0
nAk,6.0
tim,102.0
wAN,1.0
sEst,60.0
'te,79627.0
'rEt,1259.0
'sxaft,315.0
'sxEt,135.0
trAkt,149.0
'strAf,1842.0
mMt,74.0
mers,0.0
nOx,5986.0
'sxLd,1.0
bOxt,7.0
'blIn,352.0
'zwAkt,1.0
Ms,0.0
vud,13.0
'hEft,116.0
kwK,30.0
'jal,3650.0
lAnd,67.0
'smEld,0.0
kup,0.0
'z}xt,137.0
'mOlm,0.0
dit,93.0
'hErn,0.0
'jIxt,66.0
'lKk,20108.0
'bard,3.0
r}zd,2.0
lAN,1833.0
'lKf,1480.0
drOxt,7.0
nas,196.0
'nul,10.0
d@r,256202.0
zyr,86.0
'lOnt,122.0
'oft,0.0
'slOd,1.0
'swOp,0.0
zun,153.0
'silt,3.0
lwA,6.0
'dON,2928.0
'strys,0.0
d@rz,4.0
'vr}Gd,259.0
splIt,114.0
'vord,116.0
'sEkt,6.0
'l}zd,0.0
dAnt,79.0
fly,143.0
'flAb,50.0
kl@t,0.0
'stans,23.0
farts,0.0
'trEk,2373.0
'wElft,1.0
snOr,3.0
maG,0.0
stEr,552.0
jA,144.0
trat,4.0
'SA,30.0
'SMw,15.0
fEks,1.0
'tIk,288.0
tj@,23965.0
'hEn,14920.0
'nEs,254.0
'kwen,0.0
'xeps,0.0
'st}r,46.0
blot,0.0
'sxEn,217.0
'hEl,30584.0
'nKn,1063.0
zAx,19.0
zL,32.0
t@G,228.0
j@m,5.0
'lam,88.0
'vLs,0.0
mArs,68.0
'dan,46645.0
trOs,32.0
prIk,12.0
'kIndz,13.0
'nyt,1867.0
'spIt,65.0
trup,9.0
'nirs,44.0
tKt,50179.0
vOt,1.0
'sprIt,0.0
'klAxt,483.0
rat,1992.0
rIl,2.0
S|r,16.0
fil,2.0
'bord,6.0
'zwErf,72.0
mAl,40.0
'wAlG,1.0
'bAz,0.0
'nI,980.0
sp}rt,2.0
tEr,8343.0
sxE,361.0
'wunz,933.0
'slor,1.0
'gM,0.0
'strAk,752.0
'brIk,33.0
'snuf,3.0
'xral,220.0
dwAr,4.0
kr}l,0.0
hen,6177.0
nux,43.0
'k|rt,0.0
luf,1.0
'gwa,16.0
vIN,5016.0
'bol,648.0
'sput,267.0
'hEr,5292.0
mAj,0.0
b}d,297.0
'drLf,61.0
h|,37.0
'kwEts,73.0
jEn,0.0
'mKns,0.0
vO,2165.0
'skrEm,4.0
'xaj,14.0
tAp,0.0
'spAd,12.0
j@n,65.0
j@rs,10.0
'bEkt,6.0
kOms,60.0
'kOrbz,15.0
'mAN,195.0
'jAst,14.0
'sx|rt,0.0
flEt,27.0
wul,2.0
'ANz,3.0
'sal,97.0
pl}s,5.0
'kA,3626.0
nEf,0.0
am,348.0
'kOps,0.0
zAN,13.0
sxENk,141.0
pran,4.0
kob,2.0
'snEp,3.0
'sIst,251.0
'pAl,257.0
sxal,152.0
Sit,0.0
'vris,78.0
'rats,453.0
xAl,14.0
'dANg,2060.0
'dLs,1329.0
'vaG,1.0
vI,81.0
'zIdz,1.0
s},394.0
'zward,2.0
'dwEr,0.0
wEs,7.0
SOn,1.0
xly,17.0
'wul,2.0
'krOk,2.0
'xe,22434.0
G@x,6.0
'twi,4.0
'staf,77.0
k@n,678.0
'wIk,5.0
zwa,11.0
wum,0.0
flKm,0.0
'lOfs,0.0
'nem,36.0
'pLg,3.0
bLk,62.0
kol,193.0
Arm,183.0
lIk,50.0
'skEp,107.0
dum,0.0
frax,91.0
'_Ak,0.0
GIst,0.0
jAks,0.0
'vremt,5614.0
'tAlk,73.0
nKn,97.0
kOp,868.0
bAp,20.0
'sl|,3866.0
'los,691.0
dANks,1499.0
'tOlk,140.0
'sl|r,100.0
'af,0.0
'rINk,4.0
'hak,580.0
l}r,5.0
'tIp,778.0
'f<,0.0
his,794.0
kK,2752.0
'frOn,29.0
'Alf,244.0
'spreg,87.0
'rIs,551.0
pON,33.0
'ftal,0.0
'mAnz,0.0
'plEN,0.0
'pI,3341.0
'stro,1150.0
'hywd,0.0
jar,500.0
lIms,235.0
'xrKn,51.0
'dwElmt,49.0
'Gox,9.0
bKts,61.0
'pits,6.0
drAjv,69.0
rLmt,395.0
lem,0.0
plEn,0.0
plAm,0.0
'pIkt,324.0
r@nts,8.0
'laf,2.0
lAmb,0.0
'xEs,19.0
'ko,81557.0
'hArs,29.0
sxOr,153.0
'trOs,15.0
'sxMdz,0.0
'stOm,5034.0
'r}n,188.0
'lEx,5958.0
gis,0.0
pAks,0.0
klK,52.0
fI,135.0
rANs,74.0
'kim,36.0
'zKs,25.0
drAm,0.0
spis,1.0
'tINk,0.0
'v}ns,0.0
slOn,0.0
'pOt,6008.0
'kotS,1391.0
stre,114.0
'tK,8747.0
'bErst,0.0
'mats,21.0
'ly,2013.0
'kwEs,1349.0
klAm,30.0
'fO,200.0
pap,0.0
'skIn,22.0
hOrn,3.0
'sKns,6.0
'stEnt,942.0
'xrOn,545.0
'kr)m,0.0
'tIps,223.0
'kwIg,1.0
'd)n,8.0
'dKst,348.0
'bOn,2296.0
'klart,440.0
'fKn,8793.0
'mEnst,0.0
zwE,24.0
sprINk,11.0
byt,0.0
'tSEs,131.0
'drEg,4.0
sxAn,511.0
pAns,0.0
pl}n,4.0
lIb,0.0
por,1.0
varz,0.0
'rEns,3.0
vlis,91.0
hes,0.0
'rirz,11.0
'pa,9885.0
Sis,17.0
tSi,79.0
'spans,0.0
'pOs,458.0
st@r,6682.0
'lir,849.0
'sxrod,0.0
zer,6.0
'buj,99.0
'tSEk,33.0
'lLm,0.0
'bans,0.0
swK,8.0
'SInts,5.0
tr},0.0
zElf,3139.0
'pruf,1358.0
mum,0.0
'Grast,0.0
'mM,35.0
'l}Gd,155.0
'ril,114.0
nMwt,34.0
'krax,164.0
'pl),0.0
wat,10.0
trEnt,8.0
'k|ls,0.0
'sxav,0.0
'vEks,2.0
'skAj,20.0
S@rt,0.0
'dOk,11960.0
'w*l,2.0
'sket,0.0
stek,166.0
zwEm,25.0
stant,152.0
b|rs,186.0
prEnt,3.0
