Word,Bigrams,First_Bigram_Count,Min_Bigram_Count,First_bigram_Zipf,Min_bigram_Zipf
toen,"['to', 'oe', 'en']",2236591.0,837795.0,6.34958676715011,5.9231382825206955
de,['de'],2559661.0,2559661.0,6.408182621082838,6.408182621082838
barkeeper,"['ba', 'ar', 'rk', 'ke', 'ee', 'ep', 'pe', 'er']",584273.0,189025.0,5.766616560779267,5.276521544278673
die,"['di', 'ie']",1050254.0,1050254.0,6.0212947577817895,6.0212947577817895
irritante,"['ir', 'rr', 'ri', 'it', 'ta', 'an', 'nt', 'te']",2884214.0,200692.0,6.460027631162969,5.302532224931979
klant,"['kl', 'la', 'an', 'nt']",549706.0,549706.0,5.7401312673314155,5.7401312673314155
bediende,"['be', 'ed', 'di', 'ie', 'en', 'nd', 'de']",2443609.0,636500.0,6.388031893729547,5.803799090305684
wegliep,"['we', 'eg', 'gl', 'li', 'ie', 'ep']",1965886.0,189025.0,6.293558550786624,5.276521544278673
gingen,"['gi', 'in', 'ng', 'ge', 'en']",669114.0,669114.0,5.825500765859418,5.825500765859418
deuren,"['de', 'eu', 'ur', 're', 'en']",2559661.0,135956.0,6.408182621082838,5.133401572961477
open,"['op', 'pe', 'en']",976321.0,976321.0,5.98959307561742,5.98959307561742
manke,"['ma', 'an', 'nk', 'ke']",957657.0,476574.0,5.981210440987696,5.678131256544179
dronkaard,"['dr', 'ro', 'on', 'nk', 'ka', 'aa', 'ar', 'rd']",486140.0,424843.0,5.686762250004548,5.628229489164837
betaalde,"['be', 'et', 'ta', 'aa', 'al', 'ld', 'de']",2443609.0,840998.0,6.388031893729547,5.924795479395129
lachte,"['la', 'ac', 'ch', 'ht', 'te']",2444604.0,373636.0,6.388208695697325,5.572449876391515
viel,"['vi', 'ie', 'el']",226005.0,226005.0,5.354119968936349,5.354119968936349
kruk,"['kr', 'ru', 'uk']",88851.0,56724.0,4.948667207934095,4.753774504556974
om,['om'],2473734.0,2473734.0,6.39335317378869,6.39335317378869
rector,"['re', 'ec', 'ct', 'to', 'or']",1607974.0,116688.0,6.206279292269118,5.06702991804654
stoere,"['st', 'to', 'oe', 'er', 're']",2307098.0,837795.0,6.363066230945546,5.9231382825206955
puber,"['pu', 'ub', 'be', 'er']",45003.0,45003.0,4.653251116013661,4.653251116013661
