,Word,IPA,Syllables,Min_Freq_Count,Max_Freq_Count,Mean_Freq_Count,Bigrams,Bigram Occurrence Counts,Zipf,FREQcount,Lg10WF,n_syllables,Min_Syll_Zipf,First_syllable_zipf
0,toen,tˈun,tun,177.0,177.0,177.0,"['to', 'oe', 'en']","[2236591.0, 837795.0, 8542439.0]",6.032333060467471,47514.0,4.676821593349174,1.0,5.90738474893631,5.90738474893631
1,de,dˈə,də,208410.0,208410.0,208410.0,['de'],[2559661.0],7.381290564617263,1061177.0,6.025787828493357,1.0,7.461104335487914,7.461104335487914
2,barkeeper,bˈɑrkeːpər,bɑr - keː - pər,1201.0,22550.0,13999.333333333334,"['ba', 'ar', 'rk', 'ke', 'ee', 'ep', 'pe', 'er']","[584273.0, 1754491.0, 2174749.0, 3143026.0, 944702.0, 189025.0, 1062538.0, 6799370.0]",3.622674055269768,184.0,2.2648178230095364,3.0,4.404756356399624,5.20144307727227
3,die,dˈi,di,441857.0,441857.0,441857.0,"['di', 'ie']","[1050254.0, 2076673.0]",6.853870782727223,315041.0,5.498367077329443,1.0,6.754686272062608,6.754686272062608
4,irritante,ˌɪɾritˈɑntə,ɪɾ - ri - tɑn - tə,8.0,995799.0,262307.5,"['ir', 'rr', 'ri', 'it', 'ta', 'an', 'nt', 'te']","[2884214.0, 200692.0, 1787712.0, 333345.0, 892070.0, 4143386.0, 1477178.0, 3522714.0]",3.2849212525810474,84.0,1.9242792860618816,4.0,4.27303617178098,4.27303617178098
5,klant,klˈɑnt,klɑnt,5.0,5.0,5.0,"['kl', 'la', 'an', 'nt']","[549706.0, 2444604.0, 4143386.0, 1477178.0]",4.544711816449061,1545.0,3.1889284837608534,1.0,4.435641404441342,4.435641404441342
6,bediende,bədˈində,bə - din - də,2655.0,208410.0,77362.66666666667,"['be', 'ed', 'di', 'ie', 'en', 'nd', 'de']","[2443609.0, 636500.0, 1050254.0, 2076673.0, 8542439.0, 2576478.0, 2559661.0]",4.043922148869465,487.0,2.6875289612146345,3.0,5.137182156835089,6.969028573317883
7,wegliep,ʋˈɛɣlˌip,ʋɛ - ɣlip,132.0,18719.0,9425.5,"['we', 'eg', 'gl', 'li', 'ie', 'ep']","[1965886.0, 1125580.0, 403015.0, 3369152.0, 2076673.0, 189025.0]",3.476076258072605,131.0,2.1172712956557644,2.0,4.798989374461246,6.20144307727227
8,gingen,ɣˈɪŋən,ɣɪŋ - ən,2451.0,4046.0,3248.5,"['gi', 'in', 'ng', 'ge', 'en']","[669114.0, 2264626.0, 2927082.0, 3692145.0, 8542439.0]",5.0104485534510985,4517.0,3.654850090561394,2.0,5.709890675702155,5.709890675702155
9,deuren,dˈøːrən,døː - rən,2963.0,6659.0,4811.0,"['de', 'eu', 'ur', 're', 'en']","[2559661.0, 135956.0, 346154.0, 1607974.0, 8542439.0]",4.51023053430691,1427.0,3.154423973114647,2.0,4.525347764596235,4.525347764596235
