Word,IPA,Syllables,Min_Freq_Count,Max_Freq_Count,Mean_Freq_Count,Bigrams,Bigram Occurrence Counts,Zipf,FREQcount,Lg10WF
toen,tˈun,tun,177.0,177.0,177.0,"['to', 'oe', 'en']","[2236591.0, 837795.0, 8542439.0]",6.0323330604674705,47514.0,4.676821593349174
de,dˈə,də,208410.0,208410.0,208410.0,['de'],[2559661.0],7.381290564617263,1061177.0,6.025787828493357
barkeeper,bˈɑrkeːpər,bɑr - keː - pər,1201.0,22550.0,13999.333333333334,"['ba', 'ar', 'rk', 'ke', 'ee', 'ep', 'pe', 'er']","[584273.0, 1754491.0, 2174749.0, 3143026.0, 944702.0, 189025.0, 1062538.0, 6799370.0]",3.6226740552697683,184.0,2.2648178230095364
die,dˈi,di,441857.0,441857.0,441857.0,"['di', 'ie']","[1050254.0, 2076673.0]",6.853870782727223,315041.0,5.498367077329443
irritante,ˌɪɾritˈɑntə,ɪɾ - ri - tɑn - tə,8.0,995799.0,262307.5,"['ir', 'rr', 'ri', 'it', 'ta', 'an', 'nt', 'te']","[2884214.0, 200692.0, 1787712.0, 333345.0, 892070.0, 4143386.0, 1477178.0, 3522714.0]",3.2849212525810474,84.0,1.9242792860618816
klant,klˈɑnt,klɑnt,5.0,5.0,5.0,"['kl', 'la', 'an', 'nt']","[549706.0, 2444604.0, 4143386.0, 1477178.0]",4.544711816449061,1545.0,3.1889284837608534
bediende,bədˈində,bə - din - də,2655.0,208410.0,77362.66666666667,"['be', 'ed', 'di', 'ie', 'en', 'nd', 'de']","[2443609.0, 636500.0, 1050254.0, 2076673.0, 8542439.0, 2576478.0, 2559661.0]",4.043922148869465,487.0,2.6875289612146345
wegliep,ʋˈɛɣlˌip,ʋɛ - ɣlip,132.0,18719.0,9425.5,"['we', 'eg', 'gl', 'li', 'ie', 'ep']","[1965886.0, 1125580.0, 403015.0, 3369152.0, 2076673.0, 189025.0]",3.4760762580726046,131.0,2.1172712956557644
gingen,ɣˈɪŋən,ɣɪŋ - ən,2451.0,4046.0,3248.5,"['gi', 'in', 'ng', 'ge', 'en']","[669114.0, 2264626.0, 2927082.0, 3692145.0, 8542439.0]",5.0104485534510985,4517.0,3.654850090561394
deuren,dˈøːrən,døː - rən,2963.0,6659.0,4811.0,"['de', 'eu', 'ur', 're', 'en']","[2559661.0, 135956.0, 346154.0, 1607974.0, 8542439.0]",4.51023053430691,1427.0,3.154423973114647
open,ˈoːpən,oː - pən,23008.0,179724.0,101366.0,"['op', 'pe', 'en']","[976321.0, 1062538.0, 8542439.0]",5.5247651909532,14765.0,4.169233451301097
manke,mˈɑŋkə,mɑŋ - kə,77.0,671009.0,335543.0,"['ma', 'an', 'nk', 'ke']","[957657.0, 4143386.0, 476574.0, 3143026.0]",3.1263543385088988,58.0,1.7634279935629373
dronkaard,drˈɔŋkaːrt,drɔŋ - kaːrt,13.0,7342.0,3677.5,"['dr', 'ro', 'on', 'nk', 'ka', 'aa', 'ar', 'rd']","[486140.0, 1417238.0, 2451854.0, 476574.0, 424843.0, 2730922.0, 1754491.0, 823655.0]",3.4454074383061526,122.0,2.0863598306747484
betaalde,bətˈaːldə,bə - taːl - də,16045.0,208410.0,81826.0,"['be', 'et', 'ta', 'aa', 'al', 'ld', 'de']","[2443609.0, 1684914.0, 892070.0, 2730922.0, 2558689.0, 840998.0, 2559661.0]",4.240863546898266,767.0,2.8847953639489807
